initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_it	criteria_it	choice_it	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_de	criteria_de	choice_de	BigCriteria_es	criteria_es	choice_es	BigCriteria_cz	criteria_cz	choice_cz
	effecttrait		Product	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen_Apfelfrucht	selectInput		Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Apple fruit	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Fruit du pommier	Categorie di frutti...meli...noci...drupacee...e.pigne	Categorie di frutti...meli...noci...drupacee...e.pigne	Frutto a mela	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Appelvrucht	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Apfelfrucht	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Fruta manzana	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Jablečný plod
	effecttrait		Product	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen_Beerenfrüchte	selectInput		Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	berries	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Fruits rouges	Categorie di frutti...meli...noci...drupacee...e.pigne	Categorie di frutti...meli...noci...drupacee...e.pigne	bacche	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	bessen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Beerenfrüchte	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	bayas	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	bobule
	effecttrait		Product	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen_Flügelnuß	selectInput		Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Wingnut	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Noix ailée	Categorie di frutti...meli...noci...drupacee...e.pigne	Categorie di frutti...meli...noci...drupacee...e.pigne	Noce alata	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Vleugelnoot	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Flügelnuß	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Castaña	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Křídlatý ořech
	effecttrait		Product	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen_Hülsenfrüchte	selectInput		Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Legume	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Légumineuses	Categorie di frutti...meli...noci...drupacee...e.pigne	Categorie di frutti...meli...noci...drupacee...e.pigne	Legumi	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Peulvrucht	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Hülsenfrüchte	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Legumbre	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Luštěniny
	effecttrait		Product	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen_Kapselfrucht	selectInput		Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Capsule fruit	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Fruit de la capsule	Categorie di frutti...meli...noci...drupacee...e.pigne	Categorie di frutti...meli...noci...drupacee...e.pigne	Frutto a capsula	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Capsule vrucht	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Kapselfrucht	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Fruto cápsula	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Kapslové plody
	effecttrait		Product	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen_Nussfrucht	selectInput		Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	nut fruit	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Fruit à coque	Categorie di frutti...meli...noci...drupacee...e.pigne	Categorie di frutti...meli...noci...drupacee...e.pigne	frutta a guscio	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	nootvrucht	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Nussfrucht	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Fruta de nuez	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	ořechové ovoce
	effecttrait		Product	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen_Spaltfrucht	selectInput		Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Split fruit	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Fruit à fente	Categorie di frutti...meli...noci...drupacee...e.pigne	Categorie di frutti...meli...noci...drupacee...e.pigne	Frutto diviso	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Gespleten vrucht	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Spaltfrucht	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Fruto partido	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Rozdělené ovoce
	effecttrait		Product	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen_Steinfrucht	selectInput		Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Stone fruit	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Drupe	Categorie di frutti...meli...noci...drupacee...e.pigne	Categorie di frutti...meli...noci...drupacee...e.pigne	Frutto a nocciolo	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Steenvrucht	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Steinfrucht	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Fruta de hueso	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	peckovice
	effecttrait		Product	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen_Zapfen	selectInput		Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	Fruit type categories..apple.fruit..nut.fruit..stone.fruit.and.cones	cone	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Catégories de fruits..Fruit.de.la.pomme..Fruit.de.la.noix..Drupe.et.cône	Cône	Categorie di frutti...meli...noci...drupacee...e.pigne	Categorie di frutti...meli...noci...drupacee...e.pigne	cono	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	Vruchtcategorieën..appelvruchten..notenvruchten..steenvruchten.en.kegels	kegel	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Zapfen	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	Categorías de tipo de fruto..manzano..nogal..de hueso.y.conos	cono	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	Kategorie druhů plodů..jabloně..ořechy..peckovice..a.šišky.	šiška
	effecttrait		Protection	zur.Lärmminderung	zur.Lärmminderung_geeignet	checkboxInput		to.reduce.noise	to.reduce.noise	suitable	pour.réduire.le.bruit	pour.réduire.le.bruit	approprié	ridurre.il.rumore	ridurre.il.rumore	adatto	om.lawaai.te.verminderen	om.lawaai.te.verminderen	geschikt	zur.Lärmminderung	zur.Lärmminderung	geeignet	reducir.el.ruido	reducir.el.ruido	adecuado	ke.snížení.šumu	ke.snížení.šumu	vhodné
	effecttrait		Protection	zur.Pflanzung.von	zur.Pflanzung.von_Lärmschutzwellen	selectInput		for.planting.of	for.planting.of	Noise protection waves	pour.la.plantation.de	pour.la.plantation.de	Arbres antibruit	per.piantare.di	per.piantare.di	Onde di protezione dal rumore	voor.het.planten.van	voor.het.planten.van	Geluidsbeschermingsgolven	zur.Pflanzung.von	zur.Pflanzung.von	Lärmschutzwellen	para.la.plantación de	para.la.plantación de	Ondas de protección contra el ruido	pro.výsadbu	pro.výsadbu	Ochranné vlny proti hluku
	effecttrait		Protection	zur.Pflanzung.von	zur.Pflanzung.von_Steilwällen	selectInput		for.planting.of	for.planting.of	Embankments	pour.la.plantation.de	pour.la.plantation.de	Talus	per.piantare.di	per.piantare.di	Argini ripidi	voor.het.planten.van	voor.het.planten.van	Steile dijken	zur.Pflanzung.von	zur.Pflanzung.von	Steilwällen	para.la.plantación de	para.la.plantación de	Taludes	pro.výsadbu	pro.výsadbu	Strmé náspy
	effecttrait		Protection	zur.Staubminderung	zur.Staubminderung_geeignet	checkboxInput		to.reduce.dust	to.reduce.dust	suitable	pour.réduire.la.poussière	pour.réduire.la.poussière	approprié	per.ridurre.al.minimo.la.polvere	per.ridurre.al.minimo.la.polvere	adatto	om.stof.tot.minimum.te.beperken	om.stof.tot.minimum.te.beperken	geschikt	zur.Staubminderung	zur.Staubminderung	geeignet	para.minimizar.el.polvo	para.minimizar.el.polvo	adecuado	k.minimalizaci.prašnosti	k.minimalizaci.prašnosti	vhodné
	effecttrait		Shade	Breite..m	0	sliderInput		Width (m)	Width (m)	0	Largeur (m)	Largeur (m)	0	Width (m)	Width (m)	0	Width (m)	Width (m)	0	Width (m)	Width (m)	0	Width (m)	Width (m)	0	Width (m)	Width (m)	0
	effecttrait		Shade	Breite..m	30	sliderInput		Width (m)	Width (m)	30	Largeur (m)	Largeur (m)		Width (m)	Width (m)	30	Width (m)	Width (m)	30	Width (m)	Width (m)	30	Width (m)	Width (m)	30	Width (m)	Width (m)	30
	effecttrait		Timber	Holzwert	1	sliderInput		Wood value	Wood value	1	Valeur du bois	Valeur du bois	1	Valore del legno	Valore del legno	1	Houtwaarde	Houtwaarde	1	Holzwert	Holzwert	1	Valor de la madera	Valor de la madera	1	Hodnota dřeva	Hodnota dřeva	1
	effecttrait		Timber	Holzwert	5	sliderInput		Wood value	Wood value	5	Valeur du bois	Valeur du bois	5	Valore del legno	Valore del legno	5	Houtwaarde	Houtwaarde	5	Holzwert	Holzwert	5	Valor de la madera	Valor de la madera	5	Hodnota dřeva	Hodnota dřeva	5
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_?	information		Family affiliation	Family affiliation	?	Appartenance à une famille	Appartenance à une famille	?	Affiliazione alla famiglia	Affiliazione alla famiglia	?	Familieband	Familieband	?	Familienzugehörigkeit	Familienzugehörigkeit	?	Afiliación familiar	Afiliación familiar	?	Rodinná příslušnost	Rodinná příslušnost	?
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_birkengewächse (Betulaceae)	information		Family affiliation	Family affiliation	birch family (Betulaceae)	Appartenance à une famille	Appartenance à une famille	Bouleau (Betulaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	famiglia delle betulle (Betulaceae)	Familieband	Familieband	berkenfamilie (Betulaceae)	Familienzugehörigkeit	Familienzugehörigkeit	birkengewächse (Betulaceae)	Afiliación familiar	Afiliación familiar	Abedul (Betulaceae)	Rodinná příslušnost	Rodinná příslušnost	Čeleď břízovitých (Betulaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_Birkengewächse (Betulaceae)	information		Family affiliation	Family affiliation	Birch family (Betulaceae)	Appartenance à une famille	Appartenance à une famille	Bouleau (Betulaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia delle betulle (Betulaceae)	Familieband	Familieband	Berk familie (Betulaceae)	Familienzugehörigkeit	Familienzugehörigkeit	Birkengewächse (Betulaceae)	Afiliación familiar	Afiliación familiar	Abedul (Betulaceae)	Rodinná příslušnost	Rodinná příslušnost	Čeleď břízovitých (Betulaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_buchengewächse (Fagaceae)	information		Family affiliation	Family affiliation	beech family (Fagaceae)	Appartenance à une famille	Appartenance à une famille	hêtre (Fagaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia dei faggi (Fagaceae)	Familieband	Familieband	beukenfamilie (Fagaceae)	Familienzugehörigkeit	Familienzugehörigkeit	buchengewächse (Fagaceae)	Afiliación familiar	Afiliación familiar	Familia de las hayas (Fagaceae)	Rodinná příslušnost	Rodinná příslušnost	čeleď bukovité (Fagaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_Buchengewächse (Fagaceae)	information		Family affiliation	Family affiliation	Beech family (Fagaceae)	Appartenance à une famille	Appartenance à une famille	hêtre (Fagaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia dei faggi (Fagaceae)	Familieband	Familieband	Beukenfamilie (Fagaceae)	Familienzugehörigkeit	Familienzugehörigkeit	Buchengewächse (Fagaceae)	Afiliación familiar	Afiliación familiar	Familia de las hayas (Fagaceae)	Rodinná příslušnost	Rodinná příslušnost	Čeleď bukovité (Fagaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_geißblattgewächse (Caprifoliaceae)	information		Family affiliation	Family affiliation	honeysuckle family (Caprifoliaceae)	Appartenance à une famille	Appartenance à une famille	chèvrefeuilles (Caprifoliaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	famiglia dei caprifogli (Caprifoliaceae)	Familieband	Familieband	kamperfoeliefamilie (Caprifoliaceae)	Familienzugehörigkeit	Familienzugehörigkeit	geißblattgewächse (Caprifoliaceae)	Afiliación familiar	Afiliación familiar	Madreselva (Caprifoliaceae)	Rodinná příslušnost	Rodinná příslušnost	zimolezovité (Caprifoliaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_Geißblattgewächse (Caprifoliaceae)	information		Family affiliation	Family affiliation	Honeysuckle family (Caprifoliaceae)	Appartenance à une famille	Appartenance à une famille	chèvrefeuille (Caprifoliaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia del caprifoglio (Caprifoliaceae)	Familieband	Familieband	Kamperfoeliefamilie (Caprifoliaceae)	Familienzugehörigkeit	Familienzugehörigkeit	Geißblattgewächse (Caprifoliaceae)	Afiliación familiar	Afiliación familiar	Familia de las madreselvas (Caprifoliaceae)	Rodinná příslušnost	Rodinná příslušnost	Zimolezovité (Caprifoliaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_hartriegelgewächse (Cornaceae)	information		Family affiliation	Family affiliation	dogwood family (Cornaceae)	Appartenance à une famille	Appartenance à une famille	cornouillers (Cornaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	famiglia del corniolo (Cornaceae)	Familieband	Familieband	kornoeljefamilie (Cornaceae)	Familienzugehörigkeit	Familienzugehörigkeit	hartriegelgewächse (Cornaceae)	Afiliación familiar	Afiliación familiar	familia de los cornejos (Cornaceae)	Rodinná příslušnost	Rodinná příslušnost	čeleď dřínovité (Cornaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_Hartriegelgewächse (Cornaceae)	information		Family affiliation	Family affiliation	Dogwood family (Cornaceae)	Appartenance à une famille	Appartenance à une famille	cornouillers (Cornaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia del corniolo (Cornaceae)	Familieband	Familieband	Kornoeljefamilie (Cornaceae)	Familienzugehörigkeit	Familienzugehörigkeit	Hartriegelgewächse (Cornaceae)	Afiliación familiar	Afiliación familiar	Familia de los cornejos (Cornaceae)	Rodinná příslušnost	Rodinná příslušnost	Čeleď dřínovité (Cornaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_Hülsenfrüchtler (Fabaceae)	information		Family affiliation	Family affiliation	Leguminous plants (Fabaceae)	Appartenance à une famille	Appartenance à une famille	légumineuses (Fabaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Leguminose (Fabaceae)	Familieband	Familieband	Peulvruchten (Fabaceae)	Familienzugehörigkeit	Familienzugehörigkeit	Hülsenfrüchtler (Fabaceae)	Afiliación familiar	Afiliación familiar	Leguminosas (Fabaceae)	Rodinná příslušnost	Rodinná příslušnost	Leguminózy (Fabaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_kreuzdorngewächse (Rhamnaceae)	information		Family affiliation	Family affiliation	buckthorn family (Rhamnaceae)	Appartenance à une famille	Appartenance à une famille	Crucifères (Rhamnaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia dell'olivello spinoso (Rhamnaceae)	Familieband	Familieband	Duindoornfamilie (Rhamnaceae)	Familienzugehörigkeit	Familienzugehörigkeit	kreuzdorngewächse (Rhamnaceae)	Afiliación familiar	Afiliación familiar	Espino cerval (Rhamnaceae)	Rodinná příslušnost	Rodinná příslušnost	čeleď řešetlákovité (Rhamnaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_Kreuzdorngewächse (Rhamnaceae)	information		Family affiliation	Family affiliation	Buckthorn family (Rhamnaceae)	Appartenance à une famille	Appartenance à une famille	Crucifères (Rhamnaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia dell'olivello spinoso (Rhamnaceae)	Familieband	Familieband	Wegedoornfamilie (Rhamnaceae)	Familienzugehörigkeit	Familienzugehörigkeit	Kreuzdorngewächse (Rhamnaceae)	Afiliación familiar	Afiliación familiar	Espino cerval (Rhamnaceae)	Rodinná příslušnost	Rodinná příslušnost	čeleď řešetlákovité (Rhamnaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_Malvengewächse (Malvaceae)	information		Family affiliation	Family affiliation	Mallow family (Malvaceae)	Appartenance à une famille	Appartenance à une famille	malvacées (Malvaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia della malva (Malvaceae)	Familieband	Familieband	Mallow-familie (Malvaceae)	Familienzugehörigkeit	Familienzugehörigkeit	Malvengewächse (Malvaceae)	Afiliación familiar	Afiliación familiar	Malva (Malvaceae)	Rodinná příslušnost	Rodinná příslušnost	čeleď slézovité (Malvaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_moschuskrautgewächse (Adoxaceae)	information		Family affiliation	Family affiliation	muskweed family (Adoxaceae)	Appartenance à une famille	Appartenance à une famille	Adoxacées (Adoxaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	famiglia delle alghe muschiate (Adoxaceae)	Familieband	Familieband	muskuskruidfamilie (Adoxaceae)	Familienzugehörigkeit	Familienzugehörigkeit	moschuskrautgewächse (Adoxaceae)	Afiliación familiar	Afiliación familiar	familia de las muskweed (Adoxaceae)	Rodinná příslušnost	Rodinná příslušnost	Čeleď pižmovkovité (Adoxaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_Moschuskrautgewächse (Adoxaceae)	information		Family affiliation	Family affiliation	Muskweed family (Adoxaceae)	Appartenance à une famille	Appartenance à une famille	Adoxacées (Adoxaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia delle alghe muschiate (Adoxaceae)	Familieband	Familieband	Muskuskruidfamilie (Adoxaceae)	Familienzugehörigkeit	Familienzugehörigkeit	Moschuskrautgewächse (Adoxaceae)	Afiliación familiar	Afiliación familiar	familia de las almizcleras (Adoxaceae)	Rodinná příslušnost	Rodinná příslušnost	čeleď pižmovky (Adoxaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_ölbaumgewächse (Oleaceae)	information		Family affiliation	Family affiliation	Olive family (Oleaceae)	Appartenance à une famille	Appartenance à une famille	Oléacées (Oleaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia dell'olivo (Oleaceae)	Familieband	Familieband	Olijfboomfamilie (Oleaceae)	Familienzugehörigkeit	Familienzugehörigkeit	ölbaumgewächse (Oleaceae)	Afiliación familiar	Afiliación familiar	Familia del olivo (Oleaceae)	Rodinná příslušnost	Rodinná příslušnost	Čeleď olivovníkovité (Oleaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_Ölbaumgewächse (Oleaceae)	information		Family affiliation	Family affiliation	Olive family (Oleaceae)	Appartenance à une famille	Appartenance à une famille	Oléacées (Oleaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia dell'olivo (Oleaceae)	Familieband	Familieband	Olijfboomfamilie (Oleaceae)	Familienzugehörigkeit	Familienzugehörigkeit	Ölbaumgewächse (Oleaceae)	Afiliación familiar	Afiliación familiar	Familia del olivo (Oleaceae)	Rodinná příslušnost	Rodinná příslušnost	Čeleď olivovníkovité (Oleaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_Ölweidengewächse (Elaeagnaceae)	information		Family affiliation	Family affiliation	willow family (Elaeagnaceae)	Appartenance à une famille	Appartenance à une famille	Oléagineux (Elaeagnaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Oleaginacee (Elaeagnaceae)	Familieband	Familieband	Oleaginaceae (Elaeagnaceae)	Familienzugehörigkeit	Familienzugehörigkeit	Ölweidengewächse (Elaeagnaceae)	Afiliación familiar	Afiliación familiar	Oleagináceas (Elaeagnaceae)	Rodinná příslušnost	Rodinná příslušnost	Oleaginaceae (Elaeagnaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_rosengewächse (Rosaceae)	information		Family affiliation	Family affiliation	rose family (Rosaceae)	Appartenance à une famille	Appartenance à une famille	rosacées (Rosaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	famiglia delle rose (Rosaceae)	Familieband	Familieband	Rozenfamilie (Rosaceae)	Familienzugehörigkeit	Familienzugehörigkeit	rosengewächse (Rosaceae)	Afiliación familiar	Afiliación familiar	Familia de las rosáceas (Rosaceae)	Rodinná příslušnost	Rodinná příslušnost	čeleď růžovitých (Rosaceae)
	information		Familienzugehörigkeit	Familienzugehörigkeit	Familienzugehörigkeit_Rosengewächse (Rosaceae)	information		Family affiliation	Family affiliation	Rose family (Rosaceae)	Appartenance à une famille	Appartenance à une famille	rosacées (Rosaceae)	Affiliazione alla famiglia	Affiliazione alla famiglia	Famiglia delle rose (Rosaceae)	Familieband	Familieband	Rozenfamilie (Rosaceae)	Familienzugehörigkeit	Familienzugehörigkeit	Rosengewächse (Rosaceae)	Afiliación familiar	Afiliación familiar	Familia de las rosáceas (Rosaceae)	Rodinná příslušnost	Rodinná příslušnost	Čeleď růžovitých (Rosaceae)
