Scientific_name                                              ;Czech_name                                   ;abbreviation ;fruit ;forage ;forest ;ornamental ;approval ;endengeredG ;endengeredU ;endengeredY ;height    ;habitus             ;growthspeed     ;coppice       ;Subsidy_anex2 ;Subsidy_anex1 ;No_subsidy ;Earliness of leaf emergence III-V (flowering date) ;climateclass ;altitude     ;soil_fertility_acidic ;soil_fertility_normal ;soil_fertility_rich ;soil_fertility_nitrogen ;soil_fertility_calcium ;soil_fertility_peat ;soil_water_waterlogged ;soil_water_normal ;soil_water_arid ;light_demanding ;light_normal ;light_undemanding ;wood                                                                                            ;food                                                                                                                           ;Usage                                                                                                                                                                                                                                                                                                              ;floweringdate ;earlinessleafing
Morus nigra L.                                               ;morušovník černý                             ;MŠČ          ;VRAI  ;VRAI   ;FAUX   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(10)-(15) ;small tree          ;medium          ;suitable      ;            1 ;            0 ;         0 ;late (5)                                           ;(0)-(4)      ;(150)-(300)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                3 ;              2 ;              2 ;           2 ;                0 ;                                                                                                ;Sweet and sour fruits, used for mulberry wine, marmalade, syrup, and drying                                                    ;Prouductive tree (fruit, wood) suitable in the Czech Republic for the warmest areas and drier habitats, e.g. vineyards - for both silvopasture and silvo-fertile ALS.                                                                                                                                              ;5             ;late
Alnus glutinosa (L.) Gaertn.                                 ;olše lepkavá                                 ;OLL          ;FAUX  ;FAUX   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(20)-(35) ;large tree          ;fast            ;very suitable ;            1 ;            0 ;         0 ;medium (3)                                         ;(2)-(7)      ;(150)-(700)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     3 ;                2 ;              0 ;              0 ;           3 ;                2 ;Used for furniture and pencils                                                                  ;                                                                                                                               ;Functional and possibly productive tree capable of growing on a wide range of soils, classified as a fast-growing tree on favourable soils, suitable for planting on nutrient-poor, waterlogged and reclaimed soils, can also be grown in coppice, attractive wood for furniture.                                  ;3             ;medium
Juglans nigra × J. regia                                     ;ořešák (geogr. nepůvodní kříženci)           ;OŘX          ;VRAI  ;FAUX   ;VRAI   ;FAUX       ;VRAI     ;FAUX        ;FAUX        ;FAUX        ;(20)-(30) ;large tree          ;fast            ;suitable      ;            1 ;            0 ;         0 ;By variety/clone                                   ;(0)-(5)      ;(150)-(400)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              0 ;              0 ;           2 ;                0 ;Used for decorative and art objects                                                             ;                                                                                                                               ;d.t.o. (specific properties and uses may vary by variety/genotype).                                                                                                                                                                                                                                                ;NA            ;NA
Juglans nigra L.                                             ;ořešák černý                                 ;OŘĆ          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;VRAI     ;FAUX        ;FAUX        ;FAUX        ;(30)-(50) ;large tree          ;fast            ;suitable      ;            1 ;            0 ;         0 ;medium (5)                                         ;(0)-(6)      ;(150)-(400)  ;                    0 ;                    2 ;                  2 ;2                       ;                       ;                    ;                     2 ;                3 ;              0 ;              0 ;           2 ;                3 ;Used for decorative and art objects                                                             ;Shells used for ornaments and jewelry, unripe fruits pickled                                                                   ;Multifunctional tree with wide application in ALS (silvopasture and ploughing) - valuable wood, nuts harder to process, late-succulent, relatively fast growth, can also be grown as a coppice.                                                                                                                    ;5             ;medium
Juglans regia L.                                             ;ořešák královský                             ;OŘK          ;VRAI  ;FAUX   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(20)-(40) ;large tree          ;fast            ;very suitable ;            1 ;            0 ;         0 ;late (4/5)                                         ;(0)-(5)      ;(150)-(500)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              0 ;              2 ;           3 ;                0 ;Used for decorative and art objects                                                             ;Tasty, edible fruits                                                                                                           ;Multifunctional tree species with wide application in ALS (silvopasture and coppice) - valuable timber, nuts, late cutting, relatively fast growth.                                                                                                                                                                ;4,5           ;late
Prunus insititia L.                                          ;slivoň obecná                                ;SLO          ;VRAI  ;VRAI   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(7)-(8)   ;shrub to tree       ;slow            ;very suitable ;            1 ;            0 ;         0 ;medium (4)                                         ;(0)-(5)      ;(150)-(600)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              0 ;              2 ;           2 ;                0 ;Used as smoking fuel and for decorative jewelry                                                 ;Tasty fruits, used for brandy                                                                                                  ;Productive fruit tree (ringlets, bee grazing, smoking wood, regional spirits production) suitable on a wide range of sites for both silvopastoral (with smaller livestock species - sheep, goats, etc.) and silvo-oil ALS, also as a complementary species under higher species.                                   ;4             ;medium
Prunus domestica L.                                          ;slivoň švestka                               ;SLŠ          ;VRAI  ;VRAI   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(5)-(7)   ;small tree          ;medium          ;suitable      ;            1 ;            0 ;         0 ;medium (3/4)                                       ;(1)-(7)      ;(150)-(600)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              0 ;              2 ;           2 ;                0 ;Used as smoking fuel and for decorative jewelry                                                 ;Tasty fruits, used for jam and brandy                                                                                          ;Productive fruit tree (plums, bee grazing, smoking wood, production of regional spirits) suitable on a wide range of habitats for both silvopastoral (with smaller animal species - sheep, goats, etc.) and silvo-ruminant ALS, also as a complementary under higher species.                                      ;3,5           ;medium
Prunus padus L.                                              ;střemcha obecná                              ;STO          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(14)-(16) ;shrub to tree       ;slow            ;very suitable ;            1 ;            0 ;         0 ;medium (4/5)                                       ;(0)-(8)      ;(150)-(800)  ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     2 ;                2 ;              0 ;              2 ;           2 ;                2 ;                                                                                                ;Edible bitter fruits, used since the Stone Age, birds, leaves used as vegetables (Korea)                                       ;Rather complementary fruit tree ALS to a wide range of habitats, aesthetic flowers and varieties with coloured leaves.                                                                                                                                                                                             ;4,5           ;medium
Populus alba L.                                              ;topol bílý                                   ;TOB          ;FAUX  ;FAUX   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(30)-(40) ;large tree          ;very fast (SRC) ;very suitable ;            1 ;            0 ;         0 ;early (3/4)                                        ;(0)-(5)      ;(150)-(300)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     2 ;                2 ;              2 ;              3 ;           2 ;                0 ;Used for cellulose production                                                                   ;                                                                                                                               ;Main native, productive and fast-growing forest tree for lowland areas.                                                                                                                                                                                                                                            ;3,5           ;early
Populus nigra L.                                             ;topol černý                                  ;TOČ          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(30)-(40) ;large tree          ;very fast (SRC) ;very suitable ;            1 ;            0 ;         0 ;early (3/4)                                        ;(0)-(7)      ;(150)-(500)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     2 ;                2 ;              0 ;              3 ;           2 ;                0 ;Used for cellulose production, furniture (solid wood), and decking                              ;Buds used in gemotherapy                                                                                                       ;Main native production and fast-growing forest tree for lowland areas, usually tolerates drier habitats, rocky, arid soils, can also be grown in coppice.                                                                                                                                                          ;3,5           ;early
Populus tremula L.                                           ;topol osika                                  ;TOO          ;FAUX  ;FAUX   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(25)-(30) ;large tree          ;very fast (SRC) ;suitable      ;            1 ;            0 ;         0 ;early (3/4)                                        ;(1)-(9)      ;(150)-(1000) ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     2 ;                2 ;              0 ;              2 ;           2 ;                0 ;Used for matches and cellulose production                                                       ;                                                                                                                               ;Main productive, fast-growing forest tree species for lowland and midland areas and well-watered habitats, hybrids of non-native species, usually tolerates drier habitats, can also be grown in coppice.                                                                                                          ;3,5           ;early
Populus × canescens (Aiton) Sm.                              ;topol šedý                                   ;TOŠ          ;FAUX  ;FAUX   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(30)-(35) ;large tree          ;very fast (SRC) ;very suitable ;            1 ;            0 ;         0 ;early (5/6)                                        ;(0)-(6)      ;(150)-(400)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     2 ;                2 ;              2 ;              3 ;           2 ;                0 ;Used for cellulose production, lightweight solid wood furniture, and plywood                    ;                                                                                                                               ;A newly introduced natural or deliberate hybrid with similar characteristics and requirements as white poplar but with higher pest resistance and broader ecological requirements.                                                                                                                                 ;5,5           ;early
Populus spp. a jejich kříženci dle seznamů v ČR              ;topoly (geogr. nepůvodní) a jejich  kříženci ;TOX          ;FAUX  ;FAUX   ;VRAI   ;FAUX       ;VRAI     ;FAUX        ;FAUX        ;FAUX        ;(10)-(50) ;large tree          ;very fast (SRC) ;very suitable ;            1 ;            0 ;         0 ;early (3/4)                                        ;(0)-(7)      ;(150)-(700)  ;                    2 ;                    2 ;                  2 ;2                       ;                       ;                    ;                     2 ;                2 ;              0 ;              3 ;           2 ;                0 ;Used for cellulose production, light solid wood furniture, plywood, and post equipment (hockey) ;                                                                                                                               ;Main native - productive, fast-growing forest tree for middle and higher altitudes and well-watered habitats, usually tolerates very extreme habitats - cool, poor or even drier.                                                                                                                                  ;3,5           ;early
Prunus avium (L.) L.                                         ;třešeň ptačí                                 ;TŘP          ;VRAI  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(3)-(4)   ;large tree          ;fast            ;suitable      ;            1 ;            0 ;         0 ;medium (4)                                         ;(0)-(8)      ;(150)-(800)  ;                    2 ;                    3 ;                  2 ;                        ;                       ;                    ;                     0 ;                3 ;              2 ;              3 ;           2 ;                0 ;Used for decorative furniture, objects, and tiles                                               ;Tasty fruits                                                                                                                   ;Multifunctional tree species with a wide range of uses in ALS (silvopasture and cherry) - valuable timber, wild cherries (possibly graftable), bee and animal grazing, relatively fast growth on rich and moist sites (not flooded).                                                                               ;4             ;medium
Prunus cerasus L.                                            ;višeň obecná                                 ;VŠO          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(3)-(5)   ;shrub to tree       ;slow            ;suitable      ;            1 ;            0 ;         0 ;medium (4/5)                                       ;(1)-(5)      ;(150)-(400)  ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              0 ;              2 ;           2 ;                0 ;Used for decorative furniture and tiles                                                         ;Tasty berries, used for jam                                                                                                    ;Prouductive fruit tree (cherry, supplementary bee and animal grazing, smoking wood) suitable according to variety on a wide range of sites for both silvopastoral and silvo-herbaceous ALS.                                                                                                                        ;4,5           ;medium
Salix alba L.                                                ;vrba bílá                                    ;VRB          ;FAUX  ;VRAI   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(20)-(30) ;large tree          ;very fast (SRC) ;very suitable ;            1 ;            0 ;         0 ;medium (3/4)                                       ;(0)-(6)      ;(150)-(500)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     3 ;                2 ;              0 ;              3 ;           1 ;                0 ;Used for cellulose production, carving, and sports equipment (field hockey)                     ;Used in beekeeping (honey production), bark contains salicyl                                                                   ;Productive fast-growing tree for conventional (assortments) and coppice cultivation (wood chips, firewood, short pieces), bee grazing and animal feeding, pharmaceutical raw material.                                                                                                                             ;3,5           ;medium
Salix viminalis L.                                           ;vrba košíkářská                              ;VRKo         ;FAUX  ;FAUX   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(6)-(8)   ;bush to shrub       ;very fast (SRC) ;very suitable ;            1 ;            0 ;         0 ;early (3/4)                                        ;(0)-(5)      ;(150)-(600)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     2 ;                3 ;              0 ;              3 ;           1 ;                0 ;                                                                                                ;Used in beekeeping (honey production), rods used for basketry                                                                  ;Productive fast-growing wood for coppicing (wood chips, short pieces of wood, basketry wicker), spring bee fodder.                                                                                                                                                                                                 ;3,5           ;early
Salix euxina L. V. Belyaeva                                  ;vrba křehká                                  ;VRKř         ;FAUX  ;FAUX   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(22)-(25) ;medium tree         ;very fast (SRC) ;very suitable ;            1 ;            0 ;         0 ;medium (4/5)                                       ;(0)-(6)      ;(300)-(900)  ;                    2 ;                    2 ;                  0 ;                        ;                       ;                    ;                     3 ;                2 ;              0 ;              3 ;           2 ;                0 ;Used for cellulose production                                                                   ;Used in beekeeping (honey production)                                                                                          ;Supplementary production fast-growing tree species for conventional (assortments) and coppice cultivation (wood chips, firewood, short pieces of wood), animal feeding.                                                                                                                                            ;4,5           ;medium
Salix × fragilis L. (Salix alba × S. euxina)                 ;vrba načervenalá                             ;VRN          ;FAUX  ;VRAI   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(15)-(25) ;medium tree         ;very fast (SRC) ;very suitable ;            1 ;            0 ;         0 ;late (4/5)                                         ;(0)-(6)      ;(150)-(600)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     3 ;                2 ;              0 ;              3 ;           1 ;                0 ;Used for cellulose production                                                                   ;Honeyberry                                                                                                                     ;Rather a complementary forest and fodder tree for ALS in wetter habitats, can be grown in coppice.                                                                                                                                                                                                                 ;4,5           ;late
Salix × smithiana Willd. (Salix caprea × S. viminalis)       ;vrba Smithova                                ;VRS          ;VRAI  ;FAUX   ;VRAI   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(7)-(8)   ;shrub to tree       ;very fast (SRC) ;very suitable ;            1 ;            0 ;         0 ;early (3/5)                                        ;(0)-(8)      ;(150)-(600)  ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              0 ;              3 ;           1 ;                0 ;                                                                                                ;Used in beekeeping (honey production)                                                                                          ;Productive fast-growing tree for coppice cultivation (wood chips, short piece wood), spring bee grazing, soil decontamination from heavy metals.                                                                                                                                                                   ;4             ;early
Aronia melanocarpa (Michx.) Elliott                          ;aronie černá                                 ;ARC          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(2)-(5)   ;shrub to small tree ;slow            ;unsuitable    ;            0 ;            1 ;         0 ;NA                                                 ;(2)-(8)      ;(150)-(800)  ;                    1 ;                    2 ;                  1 ;                        ;                       ;                    ;                     0 ;                1 ;              0 ;              2 ;           1 ;                0 ;                                                                                                ;edible fruits-medicinal, beverage production, hedge                                                                            ;Supplenetary fruit production                                                                                                                                                                                                                                                                                      ;5             ;NA
Cornus mas L.                                                ;dřín jarní, svída dřín                       ;DŘO          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;VRAI        ;VRAI        ;VRAI        ;(2)-(6)   ;shrub to small tree ;slow            ;very suitable ;            0 ;            1 ;         0 ;NA                                                 ;(1)-(7)      ;(150)-(500)  ;                    1 ;                    2 ;                  3 ;                        ;                       ;                    ;                     0 ;                2 ;              3 ;              3 ;           2 ;                1 ;řezbářství, dekorativní předměty                                                                ;jedlé plody-marmeláda, želé, mošt, pálenka                                                                                     ;Funkční, estetický a doplňkově ovocný keř spíše do teplejších oblastí a susší stanoviště                                                                                                                                                                                                                           ;3,5           ;NA
Corylus avellana L.                                          ;líska obecná                                 ;LIO          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(5)-(8)   ;shrub to small tree ;fast            ;very suitable ;            0 ;            1 ;         0 ;NA                                                 ;(0)-(6)      ;(150)-(500)  ;                    0 ;                    2 ;                  3 ;                        ;                       ;                    ;                     1 ;                3 ;              1 ;              3 ;           2 ;                1 ;                                                                                                ;silné pruty-na tyče, jedlé ořechy                                                                                              ;Ovocný a funkční keř, menší strom, možno pěstovat výmladkově i v podrostu (zastínění)                                                                                                                                                                                                                              ;5,5           ;NA
Mespilus germanica L.                                        ;mišpule obecná                               ;MIN          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(3)-(6)   ;shrub to small tree ;slow            ;suitable      ;            0 ;            1 ;         0 ;NA                                                 ;(0)-(5)      ;(150)-(500)  ;                    0 ;                    2 ;                  3 ;                        ;                       ;                    ;                     0 ;                2 ;              3 ;              3 ;           2 ;                0 ;                                                                                                ;jedlé plody, džem                                                                                                              ;doplňkově ovocný keř pro teplejší, výsušná i další stanoviště                                                                                                                                                                                                                                                      ;5             ;NA
Ribes spp.                                                   ;rybízy                                       ;RB+          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(1)-(3)   ;shrub               ;slow            ;very suitable ;            0 ;            1 ;         0 ;NA                                                 ;(0)-(7)      ;(150)-(800)  ;                    0 ;                    0 ;                  0 ;                        ;                       ;                    ;                     0 ;                3 ;              1 ;              0 ;           3 ;                2 ;                                                                                                ;Tasty fruits                                                                                                                   ;Produkční ovocný keř snášející dobře zastínění                                                                                                                                                                                                                                                                     ;4             ;NA
Sambucus nigra L.                                            ;bez černý                                    ;BEC          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;( 3)-(8)  ;shrub to small tree ;medium          ;very suitable ;            0 ;            1 ;         0 ;NA                                                 ;(0)-(6)      ;(150)-(500)  ;                    0 ;                    2 ;                  3 ;                        ;                       ;                    ;                     1 ;                3 ;              1 ;              3 ;           2 ;                1 ;výroba fujar                                                                                    ;"květy-čaj, sirup, plody-víno, nápoje, sirup, větve na slovanské píšťaly ""koncovky"", zpevňování břehů"                       ;Funkční, produkční a ovocná dřevina keřového vzrůstu pro bohatá stanoviště                                                                                                                                                                                                                                         ;5,5           ;NA
Vaccinium corymbosum L.                                      ;brusnice chocholičnatá                       ;BRCh         ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(1)-(2)   ;shrub               ;slow            ;suitable      ;            0 ;            0 ;         1 ;NA                                                 ;(1)-(8)      ;(150)-(700)  ;                    3 ;                    2 ;                  0 ;                        ;                       ;                    ;                     2 ;                3 ;              0 ;              3 ;           2 ;                1 ;                                                                                                ;jedlé, chutné plody,                                                                                                           ;Produkční ovocné keře na kyselá a mírně zastíněná stanoviště                                                                                                                                                                                                                                                       ;4             ;NA
Betula pubescens Ehrh.                                       ;bříza pýřitá                                 ;BRP          ;FAUX  ;FAUX   ;VRAI   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(29)-(30) ;medium tree         ;medium          ;suitable      ;            0 ;            0 ;         1 ;NA                                                 ;(5)-(8)      ;(150)-(1050) ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     3 ;                2 ;              1 ;              3 ;           2 ;                0 ;palivové i nábytkářské dřevo                                                                    ;kůra-víno příp. mouka                                                                                                          ;funkční a příp. doplňkove produkční strom pro chladnější oblasti                                                                                                                                                                                                                                                   ;3,5           ;NA
Berberis vulgaris L.                                         ;dřišťál obecný                               ;DŠO          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(3)-(4)   ;shrub               ;medium          ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(6)      ;(150)-(500)  ;                    0 ;                    2 ;                  3 ;                        ;2                      ;                    ;                     0 ;                2 ;              3 ;              3 ;           2 ;                0 ;intarzie                                                                                        ;léčivé plody-vitamín C, nápoj, nezralé plody sušené na korálky, léčiva z kůry kmínku a kořenů, listů (nezralé plody jedovaté!) ;Doplňkově ovocný a estetický keř spíše do teplejších oblastí                                                                                                                                                                                                                                                       ;5             ;NA
Crataegus monogyna Jacq.                                     ;hloh jednosemenný                            ;HLJ          ;FAUX  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(3)-(8)   ;shrub to small tree ;slow            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(6)      ;(150)-(800)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              2 ;              2 ;           2 ;                0 ;řezbářství, dekorativní předměty                                                                ;léčivé plody, květy, listy-srdce, paměť                                                                                        ;Funkční a estetický keř, pěstovat rezistentní genotypy k bakterióze Erwinia amylovora nebo nepěstovat s ovocnými dřevinami čeledi růžovité                                                                                                                                                                         ;4,5           ;NA
Crataegus laevigata (Poir.) DC.                              ;hloh obecný                                  ;HLO          ;FAUX  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(3)-(6)   ;shrub to small tree ;slow            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(6)      ;(150)-(600)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              2 ;              2 ;           2 ;                0 ;řezbářství, dekorativní předměty                                                                ;stejné jako u hlohu jednosemenného                                                                                             ;Funkční a estetický keř, pěstovat rezistentní genotypy k bakterióze Erwinia amylovora nebo nepěstovat s ovocnými dřevinami čeledi růžovité                                                                                                                                                                         ;5             ;NA
Elaegnus angustifolia L.                                     ;hlošina úzkolistá (česká oliva)              ;HLU          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(8)-(10)  ;shrub to small tree ;medium          ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(7)      ;(150)-(800)  ;                    0 ;                    2 ;                  2 ;                        ;                       ;                    ;                     0 ;                2 ;              3 ;              3 ;           2 ;                0 ;dekorativní předměty                                                                            ;jedlé plody-česká oliva, semena se nakládají-orient                                                                            ;Funkční a eststická dřevina (keř, malý strom) na teplejší výsusšná stanoviště                                                                                                                                                                                                                                      ;6             ;NA
Juniperus communis L.                                        ;jalovec obecný                               ;JAO          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(8)-(12)  ;shrub to small tree ;slow            ;unsuitable    ;            0 ;            0 ;         1 ;NA                                                 ;(3)-(8)      ;(250)-(900)  ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     2 ;                2 ;              2 ;              3 ;           2 ;                0 ;dekorativní předměty                                                                            ;pokrmy, koření, borovička - džin                                                                                               ;Doplňková produkční a funkční dřevina zejména do silvopatevních ALS (netrpí na okus)                                                                                                                                                                                                                               ;6             ;NA
Sorbus spp.                                                  ;jeřáby - další domácí druhy v ČR             ;JR+          ;VRAI  ;VRAI   ;FAUX   ;FAUX       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(7)-(15)  ;small tree          ;medium          ;suitable      ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(5)      ;(150)-(600)  ;                    0 ;                    0 ;                  0 ;                        ;                       ;                    ;                     0 ;                0 ;              0 ;              0 ;           0 ;                0 ;                                                                                                ;jedlé plody (některé odrůdy)                                                                                                   ;Skupina domácích přírodních často endemitických mikrodruhů, vhodných pro pěstování v oblasti původu                                                                                                                                                                                                                ;5             ;NA
Viburnum opulus L.                                           ;kalina obecná                                ;KAO          ;FAUX  ;VRAI   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(2)-(5)   ;shrub               ;medium          ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(1)-(8)      ;(150)-(900)  ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     2 ;                3 ;              2 ;              2 ;           3 ;                2 ;                                                                                                ;nouzově jedlá, hořké plody, sušené jako koření Rusko                                                                           ;Doplňková estetická dřevina pro širokou škálu stanovišt                                                                                                                                                                                                                                                            ;5,5           ;NA
Cydonia oblonga Mill.                                        ;kdouloň obecná                               ;KDP          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(3)-(7)   ;shrub to small tree ;slow            ;suitable      ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(5)      ;(150)-(500)  ;                    0 ;                    2 ;                  3 ;                        ;                       ;                    ;                     0 ;                2 ;              3 ;              3 ;           2 ;                0 ;                                                                                                ;kvůli vůni do zavařenin k jinému ovoci, léčivé plody a semena, želé, proti molům, dekorativní druh - květ                      ;Menší funkční a eststetický keř na tepleší a sušší stanoviště                                                                                                                                                                                                                                                      ;4             ;NA
Staphylea pinnata L.                                         ;klokoč zpeřený                               ;KLZ          ;FAUX  ;VRAI   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(2)-(5)   ;shrub               ;slow            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(1)-(5)      ;(150)-(500)  ;                    0 ;                    2 ;                  3 ;                        ;                       ;                    ;                     2 ;                3 ;              1 ;              2 ;           3 ;                1 ;                                                                                                ;plody-výroba korálků, květy jedlé,                                                                                             ;Tradiční okrasný keř vesnických intravilánů pro širokou škálu stanovišt                                                                                                                                                                                                                                            ;5             ;NA
Frangula alnus Mill.                                         ;krušina olšová                               ;KRO          ;FAUX  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;VRAI        ;VRAI        ;FAUX        ;(2)-(6)   ;shrub to small tree ;medium          ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(0)-(7)      ;(150)-(900)  ;                    3 ;                    2 ;                  1 ;                        ;                       ;2                   ;                     3 ;                2 ;              0 ;              2 ;           2 ;                2 ;střelný prach                                                                                   ;medonosné, kůra v lékařství                                                                                                    ;doplňková dřevina pro vlhké lokality od nížin do hor                                                                                                                                                                                                                                                               ;5             ;NA
Rubus idaeus L. aj.                                          ;maliník ostružiník                           ;MAO          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;FAUX     ;FAUX        ;FAUX        ;FAUX        ;(1)-(2)   ;shrub               ;fast            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(2)-(8)      ;(150)-(1000) ;                    2 ;                    2 ;                  2 ;                        ;                       ;                    ;                     1 ;                3 ;              1 ;              2 ;           3 ;                2 ;                                                                                                ;Tasty fruits                                                                                                                    ;Produkční ovocné keře na bohatá pro slunná, ale i polostinná stanoviště                                                                                                                                                                                                                                            ;5             ;NA
Amelanchier ovalis Medic.                                    ;muchovník oválný                             ;MUO          ;VRAI  ;FAUX   ;FAUX   ;VRAI       ;VRAI     ;FAUX        ;FAUX        ;FAUX        ;(2)-(3)   ;shrub               ;slow            ;very suitable ;            0 ;            0 ;         1 ;NA                                                 ;(2)-(7)      ;(150)-(900)  ;                    2 ;                    2 ;                  0 ;                        ;                       ;                    ;                     0 ;                2 ;              1 ;              2 ;           3 ;                0 ;                                                                                                ;živý plot, plody                                                                                                               ;funkční a doplňkově ovocný keř pro výsušná i další stanoviště                                                                                                                                                                                                                                                      ;4,5           ;NA
