Country	Region	Crop	precipitation	altitude	Tree_latin	locallyAdapted	food	erosionControl	pestControl	biodiversity	diseaseControl	microclimate	improvedCoffeeProductivity	improvedCoffeeLongevity	pruning	fallingBranches	nutrients	fuelwood	fodder	protecfromcold	fruit	growth	Income	improvedCoffeeQuality	mulch	improvedCocoaLongevity	lowCompetition	improvedMacaboProduction	medicinal	protectfromhail	windbreak	protectfromheat	otherproducts	shade	for workers	soilMoisture	soilFertility	timber	weedControl
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Spathodea campanulata	NA	0	NA	5	NA	NA	3.14	2.14	NA	NA	NA	3.1	3.28	NA	NA	NA	2.29	NA	NA	2.43	NA	NA	NA	NA	NA	NA	NA	NA	1.22	NA	2.56	NA	2.47	2.6
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Calliandra calothyrsus	NA	0	NA	4.62	NA	NA	1.58	2.69	NA	NA	NA	1.52	3.47	NA	NA	NA	3.92	NA	NA	4.05	NA	NA	NA	NA	NA	NA	NA	NA	2.32	NA	3.64	NA	1.34	1.21
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Sapium ellepticum	NA	0	NA	1.88	NA	NA	2.99	1.93	NA	NA	NA	2.19	3.75	NA	NA	NA	1.39	NA	NA	2.14	NA	NA	NA	NA	NA	NA	NA	NA	1.7	NA	2.42	NA	2.39	2.69
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Calliandra calothyrsus	NA	0	NA	4.62	NA	NA	1.58	2.69	NA	NA	NA	1.52	3.47	NA	NA	NA	3.92	NA	NA	4.05	NA	NA	NA	NA	NA	NA	NA	NA	2.32	NA	3.64	NA	1.34	1.21
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Markhamia lutea	NA	0	NA	2.3	NA	NA	1.61	0.82	NA	NA	NA	2.29	3.83	NA	NA	NA	1.16	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	0.42	NA	1.03	NA	2.94	2.11
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Ficus ovata	NA	0	NA	4.57	NA	NA	3.62	2.76	NA	NA	NA	4.34	3.54	NA	NA	NA	2.01	NA	NA	2.06	NA	NA	NA	NA	NA	NA	NA	NA	2.65	NA	3.49	NA	2.6	4.3
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Albizia chinensis	NA	0	NA	4.05	NA	NA	2.92	4.55	NA	NA	NA	4.82	4.53	NA	NA	NA	2.87	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	4.32	NA	4.28	NA	2.85	2.9
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Spathodea campanulata	NA	0	NA	3.42	NA	NA	2.8	2.11	NA	NA	NA	3.07	2.63	NA	NA	NA	2.07	NA	NA	2.12	NA	NA	NA	NA	NA	NA	NA	NA	1.76	NA	2.79	NA	1.77	2.91
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Syzygium cumini	NA	2.24	NA	2.5	NA	NA	2.43	1.32	NA	NA	NA	3.41	3.35	NA	NA	NA	1.9	NA	NA	1.65	NA	NA	NA	NA	NA	NA	NA	NA	1.41	NA	2.18	NA	2.77	3.27
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Psidium guajava	NA	0.94	NA	2.84	NA	NA	0.35	1.32	NA	NA	NA	0.7	2.12	NA	NA	NA	2.04	NA	NA	1.09	NA	NA	NA	NA	NA	NA	NA	NA	0.4	NA	1.45	NA	0.94	1.07
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Canarium schweinfurthii	NA	0	NA	4.01	NA	NA	3.21	2.63	NA	NA	NA	3.42	3.85	NA	NA	NA	0.98	NA	NA	1.76	NA	NA	NA	NA	NA	NA	NA	NA	2.21	NA	2.28	NA	3.27	3.16
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Mangifera indica	NA	2.98	NA	4.2	NA	NA	4.48	1.62	NA	NA	NA	4.98	4.09	NA	NA	NA	2.44	NA	NA	1.12	NA	NA	NA	NA	NA	NA	NA	NA	0.82	NA	2.44	NA	2.55	5
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Markhamia lutea	NA	0	NA	3.35	NA	NA	1.97	1.03	NA	NA	NA	2.43	4.57	NA	NA	NA	1.57	NA	NA	1.26	NA	NA	NA	NA	NA	NA	NA	NA	0.33	NA	0.85	NA	3.37	2.3
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Psidium guajava	NA	0.94	NA	2.84	NA	NA	0.35	1.32	NA	NA	NA	0.7	2.12	NA	NA	NA	2.04	NA	NA	1.09	NA	NA	NA	NA	NA	NA	NA	NA	0.4	NA	1.45	NA	0.94	1.07
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Persea americana	NA	2.62	NA	3.02	NA	NA	2.89	1.48	NA	NA	NA	3.39	2.5	NA	NA	NA	2.57	NA	NA	1.64	NA	NA	NA	NA	NA	NA	NA	NA	1.47	NA	2.65	NA	1.29	3.15
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Grevillea robusta	NA	0	NA	3.58	NA	NA	2.02	1.53	NA	NA	NA	2.42	3.25	NA	NA	NA	2.54	NA	NA	1.53	NA	NA	NA	NA	NA	NA	NA	NA	1.37	NA	1.37	NA	3.79	3.1
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Ficus ovata	NA	0	NA	4.57	NA	NA	3.62	2.76	NA	NA	NA	4.34	3.54	NA	NA	NA	2.01	NA	NA	2.06	NA	NA	NA	NA	NA	NA	NA	NA	2.65	NA	3.49	NA	2.6	4.3
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Musa paradisiaca	NA	5	NA	4.19	NA	NA	1.1	2.99	NA	NA	NA	0	0	NA	NA	NA	5	NA	NA	2.23	NA	NA	NA	NA	NA	NA	NA	NA	2.22	NA	3.73	NA	0	1.65
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Syzygium cumini	NA	2.24	NA	2.5	NA	NA	2.43	1.32	NA	NA	NA	3.41	3.35	NA	NA	NA	1.9	NA	NA	1.65	NA	NA	NA	NA	NA	NA	NA	NA	1.41	NA	2.18	NA	2.77	3.27
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Senna spectabilis	NA	0	NA	3.47	NA	NA	1.7	0.99	NA	NA	NA	2.03	3.38	NA	NA	NA	2.21	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	1.6	NA	0.29	2.13
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Albizia chinensis	NA	0	NA	4.4	NA	NA	4.15	4.67	NA	NA	NA	3.99	4.28	NA	NA	NA	3.11	NA	NA	4.09	NA	NA	NA	NA	NA	NA	NA	NA	3.55	NA	4.54	NA	2.6	3.34
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Markhamia lutea	NA	0	NA	2.3	NA	NA	1.61	0.82	NA	NA	NA	2.29	3.83	NA	NA	NA	1.16	NA	NA	0.74	NA	NA	NA	NA	NA	NA	NA	NA	0.42	NA	1.03	NA	2.94	2.11
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Psidium guajava	NA	0.94	NA	2.84	NA	NA	0.35	1.32	NA	NA	NA	0.7	2.12	NA	NA	NA	2.04	NA	NA	1.09	NA	NA	NA	NA	NA	NA	NA	NA	0.4	NA	1.45	NA	0.94	1.07
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Artocarpus heterophyllus	NA	3.18	NA	2.95	NA	NA	4.35	0.92	NA	NA	NA	4.87	3.44	NA	NA	NA	2.48	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA	2.37	NA	2.32	4.6
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Spathodea campanulata	NA	0	NA	3.42	NA	NA	2.8	2.11	NA	NA	NA	3.07	2.63	NA	NA	NA	2.07	NA	NA	2.12	NA	NA	NA	NA	NA	NA	NA	NA	1.76	NA	2.79	NA	1.77	2.91
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Milicia excelsa	NA	0	NA	4.39	NA	NA	3.27	2.14	NA	NA	NA	4.46	4.05	NA	NA	NA	0	NA	NA	1.63	NA	NA	NA	NA	NA	NA	NA	NA	1.87	NA	2.34	NA	5	3.88
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Artocarpus heterophyllus	NA	3.18	NA	2.95	NA	NA	4.35	0.92	NA	NA	NA	4.87	3.44	NA	NA	NA	2.48	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA	2.37	NA	2.32	4.6
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Carica papaya	NA	3.13	NA	2.77	NA	NA	0	1.02	NA	NA	NA	0.07	1.11	NA	NA	NA	4.6	NA	NA	2.91	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	2.53	NA	0.13	0.51
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Canarium schweinfurthii	NA	1.29	NA	4.53	NA	NA	3.22	2.22	NA	NA	NA	4.04	3.33	NA	NA	NA	1.1	NA	NA	1.87	NA	NA	NA	NA	NA	NA	NA	NA	1.9	NA	2.06	NA	3.75	3.13
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Musa paradisiaca	NA	5	NA	3.72	NA	NA	2.13	3.11	NA	NA	NA	0	0	NA	NA	NA	5	NA	NA	2.57	NA	NA	NA	NA	NA	NA	NA	NA	1.8	NA	3.62	NA	0	0.79
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Persea americana	NA	2.82	NA	3.56	NA	NA	3.39	1.98	NA	NA	NA	3.42	2.97	NA	NA	NA	2.73	NA	NA	1.95	NA	NA	NA	NA	NA	NA	NA	NA	1.38	NA	2.63	NA	1.89	3.11
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Maesopsis eminii	NA	0	NA	3.69	NA	NA	3.15	3.07	NA	NA	NA	3.09	5	NA	NA	NA	2.78	NA	NA	3.05	NA	NA	NA	NA	NA	NA	NA	NA	2.56	NA	3.09	NA	3.85	2.54
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Ficus natalensis	NA	0	NA	4.27	NA	NA	5	4.39	NA	NA	NA	4.83	4.69	NA	NA	NA	2.84	NA	NA	3.98	NA	NA	NA	NA	NA	NA	NA	NA	4.13	NA	4.85	NA	2.62	3.98
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Artocarpus heterophyllus	NA	3.39	NA	4.04	NA	NA	4.08	1.66	NA	NA	NA	5	3.91	NA	NA	NA	2.75	NA	NA	1.03	NA	NA	NA	NA	NA	NA	NA	NA	0.56	NA	2.19	NA	2.61	4.73
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Moringa oleifera	NA	0	NA	4.75	NA	NA	0.98	0.82	NA	NA	NA	1.81	1.41	NA	NA	NA	2.99	NA	NA	2.68	NA	NA	NA	NA	NA	NA	NA	NA	1.97	NA	2.09	NA	0.98	0.84
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Maesopsis eminii	NA	0	NA	4.35	NA	NA	2.57	2.72	NA	NA	NA	2.51	4.81	NA	NA	NA	3.09	NA	NA	2.99	NA	NA	NA	NA	NA	NA	NA	NA	2.58	NA	2.7	NA	3.97	2.62
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Pinus caribaea	NA	0	NA	0	NA	NA	0.64	0	NA	NA	NA	1.85	3.31	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0.32	NA	0	NA	3.56	2.73
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Senna spectabilis	NA	0	NA	3.47	NA	NA	1.7	0.99	NA	NA	NA	2.03	3.38	NA	NA	NA	2.21	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	1.6	NA	0.29	2.13
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Albizia chinensis	NA	0	NA	4.05	NA	NA	2.92	4.55	NA	NA	NA	4.82	4.53	NA	NA	NA	2.87	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	4.32	NA	4.28	NA	2.85	2.9
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Albizia coriaria	NA	0	NA	4.86	NA	NA	4.69	5	NA	NA	NA	4.82	5	NA	NA	NA	1.38	NA	NA	4.52	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	5	NA	4.76	4.44
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Albizia zygia	NA	0	NA	3.74	NA	NA	1.95	1.97	NA	NA	NA	2.77	3.79	NA	NA	NA	1.4	NA	NA	3.99	NA	NA	NA	NA	NA	NA	NA	NA	2.37	NA	2.73	NA	2.5	2.4
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Annona muricata	NA	0	NA	4.5	NA	NA	1.7	1.11	NA	NA	NA	1.66	2.07	NA	NA	NA	1.12	NA	NA	0.11	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	1.74	NA	0.78	1.72
Uganda	Uganda (Central)	Robusta coffee	Medium precipitation	All altitudes	Senna spectabilis	NA	0	NA	3.47	NA	NA	1.7	0.99	NA	NA	NA	2.03	3.38	NA	NA	NA	2.21	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	1.6	NA	0.29	2.13
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Ficus natalensis	NA	0	NA	5	NA	NA	4.59	4.35	NA	NA	NA	4.71	4.49	NA	NA	NA	2.79	NA	NA	3.91	NA	NA	NA	NA	NA	NA	NA	NA	4.15	NA	4.89	NA	2.08	4.48
Uganda	Uganda (Central)	Robusta coffee	Low precipitation	All altitudes	Artocarpus heterophyllus	NA	3.18	NA	2.95	NA	NA	4.35	0.92	NA	NA	NA	4.87	3.44	NA	NA	NA	2.48	NA	NA	0.68	NA	NA	NA	NA	NA	NA	NA	NA	0.68	NA	2.37	NA	2.32	4.6
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Carica papaya	NA	3.13	NA	2.77	NA	NA	0	1.02	NA	NA	NA	0.07	1.11	NA	NA	NA	4.6	NA	NA	2.91	NA	NA	NA	NA	NA	NA	NA	NA	0.73	NA	2.53	NA	0.13	0.51
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Senna spectabilis	NA	0	NA	2.48	NA	NA	2.45	1	NA	NA	NA	2.6	4.82	NA	NA	NA	2.98	NA	NA	3.54	NA	NA	NA	NA	NA	NA	NA	NA	0.71	NA	2.05	NA	1.48	1.67
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Albizia zygia	NA	0	NA	3.42	NA	NA	3.9	2.53	NA	NA	NA	3.63	4.32	NA	NA	NA	1.13	NA	NA	2.91	NA	NA	NA	NA	NA	NA	NA	NA	2.46	NA	3.15	NA	2.81	3.21
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Albizia coriaria	NA	0	NA	4.36	NA	NA	4.93	5	NA	NA	NA	4.67	4.97	NA	NA	NA	1.34	NA	NA	4.45	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	5	NA	4.23	4.09
Uganda	Uganda (Central)	Robusta coffee	High precipitation	All altitudes	Pinus caribaea	NA	0	NA	0	NA	NA	0	0	NA	NA	NA	3.61	2.96	NA	NA	NA	1.39	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0.05	NA	0	NA	3.42	3.27
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Grevillea robusta	NA	0	NA	3.58	NA	NA	2.02	1.53	NA	NA	NA	2.42	3.25	NA	NA	NA	2.54	NA	NA	1.53	NA	NA	NA	NA	NA	NA	NA	NA	1.37	NA	1.37	NA	3.79	3.1
Uganda	Uganda (Central)	Robusta coffee	All precipitation zones	All altitudes	Albizia coriaria	NA	0	NA	4.86	NA	NA	4.69	5	NA	NA	NA	4.82	5	NA	NA	NA	1.38	NA	NA	4.52	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	5	NA	4.76	4.44
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Citrus sinensis	NA	NA	1.26	NA	3.51	NA	1.79	1.85	NA	NA	NA	0	NA	NA	1.48	NA	NA	NA	NA	2.11	NA	NA	NA	NA	NA	2.07	NA	NA	1.25	NA	2.25	1.25	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Docynia indica	NA	NA	2.49	NA	1.87	NA	2.66	1.27	NA	NA	NA	2.67	NA	NA	3.16	NA	NA	NA	NA	2.98	NA	NA	NA	NA	NA	2.96	NA	NA	1.79	NA	1.86	0.81	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Persea americana	NA	NA	1.73	NA	1.84	NA	3.42	2.65	NA	NA	NA	1.15	NA	NA	2.3	NA	NA	NA	NA	3.43	NA	NA	NA	NA	NA	2.91	NA	NA	2.56	NA	3.29	1.91	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Mangifera indica	NA	NA	3.33	NA	3.66	NA	4.18	2.52	NA	NA	NA	0.99	NA	NA	3.4	NA	NA	NA	NA	4.49	NA	NA	NA	NA	NA	3.27	NA	NA	3.18	NA	4.11	2.73	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Leucaena leucocephala	NA	NA	4.75	NA	1.8	NA	5	5	NA	NA	NA	5	NA	NA	4.64	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	4.06	NA	NA	5	NA	5	5	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Citrus aurantiifolia	NA	NA	0.03	NA	2.15	NA	0	2.38	NA	NA	NA	1.09	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0.6	NA	NA	0	NA	1.45	1.52	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Oroxylum indicum	NA	NA	0	NA	0	NA	1.12	NA	NA	NA	NA	NA	NA	NA	0.46	NA	NA	NA	NA	1.36	NA	NA	NA	NA	NA	0	NA	NA	0.88	NA	1.08	1.4	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Prunus salicina	NA	NA	3.1	NA	3.67	NA	2.34	2.87	NA	NA	NA	1.49	NA	NA	2.11	NA	NA	NA	NA	3.89	NA	NA	NA	NA	NA	2.76	NA	NA	1.87	NA	2.97	2.62	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Citrus grandis	NA	NA	2.14	NA	3.57	NA	2.79	1.96	NA	NA	NA	0.89	NA	NA	2.69	NA	NA	NA	NA	3.18	NA	NA	NA	NA	NA	2.97	NA	NA	2.22	NA	2.56	1.79	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Michelia mediocris	NA	NA	1.35	NA	0.38	NA	2.65	0	NA	NA	NA	2.68	NA	NA	2.46	NA	NA	NA	NA	1.96	NA	NA	NA	NA	NA	2.88	NA	NA	2.16	NA	1.42	1.13	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Tamarindus indica	NA	NA	1.5	NA	1.39	NA	1.55	0.95	NA	NA	NA	1.98	NA	NA	0.89	NA	NA	NA	NA	2.01	NA	NA	NA	NA	NA	2.87	NA	NA	1.58	NA	0.61	0.82	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Litchi chinensis	NA	NA	3.69	NA	3.99	NA	3.59	1.42	NA	NA	NA	0.85	NA	NA	3.4	NA	NA	NA	NA	3.95	NA	NA	NA	NA	NA	3.83	NA	NA	2.84	NA	2.46	1.36	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Dimocarpus longan	NA	NA	5	NA	5	NA	4.61	2.2	NA	NA	NA	0.75	NA	NA	5	NA	NA	NA	NA	4.84	NA	NA	NA	NA	NA	5	NA	NA	3.84	NA	3.69	1.81	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Artocarpus heterophyllus	NA	NA	3.33	NA	2.06	NA	4.57	2.01	NA	NA	NA	2.84	NA	NA	3.96	NA	NA	NA	NA	4.37	NA	NA	NA	NA	NA	3.63	NA	NA	3.66	NA	3.87	2.91	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Melia azedarach	NA	NA	2.58	NA	2.69	NA	1.97	0.44	NA	NA	NA	2.82	NA	NA	0.76	NA	NA	NA	NA	2.32	NA	NA	NA	NA	NA	1.88	NA	NA	1.63	NA	0	0.53	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Macadamia spp 	NA	NA	0.92	NA	0.81	NA	2.22	2.62	NA	NA	NA	1.29	NA	NA	2.3	NA	NA	NA	NA	1.31	NA	NA	NA	NA	NA	2.2	NA	NA	1.86	NA	1.75	1.02	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Psidium guajava	NA	NA	1.63	NA	2.52	NA	1.8	1.62	NA	NA	NA	1.78	NA	NA	1.91	NA	NA	NA	NA	2.41	NA	NA	NA	NA	NA	2.07	NA	NA	1.13	NA	1.7	1.48	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Chukrasia tabularis	NA	NA	1.36	NA	0.56	NA	4.18	1.07	NA	NA	NA	NA	NA	NA	3.94	NA	NA	NA	NA	1.09	NA	NA	NA	NA	NA	3.68	NA	NA	2.87	NA	2.19	1.4	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Prunus persica	NA	NA	2.36	NA	3.45	NA	2.42	2.07	NA	NA	NA	2.05	NA	NA	1.48	NA	NA	NA	NA	3.92	NA	NA	NA	NA	NA	2.59	NA	NA	1.75	NA	2.27	2.31	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Manglietia conifera	NA	NA	2.15	NA	0.63	NA	2.6	2.02	NA	NA	NA	NA	NA	NA	1.01	NA	NA	NA	NA	4.06	NA	NA	NA	NA	NA	2.32	NA	NA	1.64	NA	1.36	0.75	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Dalbergia tonkinensis	NA	NA	2.66	NA	0.44	NA	3.71	0.5	NA	NA	NA	NA	NA	NA	2.35	NA	NA	NA	NA	4.59	NA	NA	NA	NA	NA	1.94	NA	NA	2.27	NA	2.88	0.25	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Prunus mume	NA	NA	2.46	NA	3.53	NA	1.61	1.43	NA	NA	NA	1.06	NA	NA	1.46	NA	NA	NA	NA	3.02	NA	NA	NA	NA	NA	2.21	NA	NA	1.41	NA	1.53	1.47	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Pyrus granulosa	NA	NA	1.7	NA	1.48	NA	2.51	1.35	NA	NA	NA	1.68	NA	NA	1.95	NA	NA	NA	NA	3.3	NA	NA	NA	NA	NA	2.23	NA	NA	1.82	NA	1.41	0.55	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Eucalyptus spp.	NA	NA	1.36	NA	0.64	NA	1.89	0.69	NA	NA	NA	1.78	NA	NA	2.35	NA	NA	NA	NA	1.59	NA	NA	NA	NA	NA	2.55	NA	NA	2.17	NA	0.66	0	NA	NA
Vietnam	Vietnam (North-West)	Arabica coffee	All precipitation zones	All altitudes	Vernicia montana	NA	NA	3.34	NA	2.79	NA	4.44	1.61	NA	NA	NA	2.9	NA	NA	3.47	NA	NA	NA	NA	4.72	NA	NA	NA	NA	NA	3.03	NA	NA	3.26	NA	2.87	1.64	NA	NA
Colombia	Colombia (Cauca)	Arabica coffee	All precipitation zones	All altitudes	Alchornea latifolia 	NA	NA	NA	0	3.81	NA	1.11	2.86	3.11	NA	NA	NA	NA	NA	NA	3.72	NA	NA	NA	NA	NA	NA	NA	NA	2.68	3.62	NA	NA	NA	NA	NA	3.29	NA	3.29
Colombia	Colombia (Cauca)	Arabica coffee	All precipitation zones	All altitudes	Handroanthus chrysanthus	NA	NA	NA	2.08	2.55	NA	2.71	2.78	2.72	NA	NA	NA	NA	NA	NA	1.8	NA	NA	NA	NA	NA	NA	NA	NA	1.36	1.45	NA	NA	NA	NA	NA	2.63	NA	1.52
Colombia	Colombia (Cauca)	Arabica coffee	All precipitation zones	All altitudes	Psidium guajava	NA	NA	NA	2.74	5	NA	2.39	2.22	2.98	NA	NA	NA	NA	NA	NA	4.62	NA	NA	NA	NA	NA	NA	NA	NA	2.57	1.87	NA	NA	NA	NA	NA	3.56	NA	1.12
Colombia	Colombia (Cauca)	Arabica coffee	All precipitation zones	All altitudes	Inga edulis	NA	NA	NA	5	4.5	NA	4.02	5	4.52	NA	NA	NA	NA	NA	NA	4.52	NA	NA	NA	NA	NA	NA	NA	NA	4.23	4.23	NA	NA	NA	NA	NA	5	NA	4.61
Colombia	Colombia (Cauca)	Arabica coffee	All precipitation zones	All altitudes	Myrsia popayanensis	NA	NA	NA	3.1	3.36	NA	2.53	1.14	1.38	NA	NA	NA	NA	NA	NA	3.51	NA	NA	NA	NA	NA	NA	NA	NA	3.05	1.68	NA	NA	NA	NA	NA	1.85	NA	1.34
Colombia	Colombia (Cauca)	Arabica coffee	All precipitation zones	All altitudes	Heliocarpus popayanensis	NA	NA	NA	2.14	3.47	NA	2.22	2.48	2.35	NA	NA	NA	NA	NA	NA	2.46	NA	NA	NA	NA	NA	NA	NA	NA	1.99	2.41	NA	NA	NA	NA	NA	2.24	NA	2.04
Colombia	Colombia (Cauca)	Arabica coffee	All precipitation zones	All altitudes	Myrsine guianensis	NA	NA	NA	1.48	2.03	NA	1.18	1.9	0.55	NA	NA	NA	NA	NA	NA	1.64	NA	NA	NA	NA	NA	NA	NA	NA	1.65	2.14	NA	NA	NA	NA	NA	1.57	NA	0
Colombia	Colombia (Cauca)	Arabica coffee	All precipitation zones	All altitudes	Bactris gasipaes	NA	NA	NA	0.83	2.18	NA	0.48	1.02	0	NA	NA	NA	NA	NA	NA	4.17	NA	NA	NA	NA	NA	NA	NA	NA	0.61	0.44	NA	NA	NA	NA	NA	0.6	NA	1.1
Colombia	Colombia (Cauca)	Arabica coffee	All precipitation zones	All altitudes	Leucaena leucocephala	NA	NA	NA	2.57	3.26	NA	1.76	2.74	3.17	NA	NA	NA	NA	NA	NA	0.62	NA	NA	NA	NA	NA	NA	NA	NA	2.62	1.11	NA	NA	NA	NA	NA	2.56	NA	1.56
Colombia	Colombia (Cauca)	Arabica coffee	All precipitation zones	All altitudes	Inga punctata	NA	NA	NA	2.73	4.01	NA	3.45	2.79	2.68	NA	NA	NA	NA	NA	NA	2.99	NA	NA	NA	NA	NA	NA	NA	NA	2.63	1.66	NA	NA	NA	NA	NA	3.76	NA	2.54
