numberinit	nameCommon	genus	species	family	climate	humidity	form	height	lifespan	utilities	classsyntropic_strata	classsyntropic_lifecycle	precipitation_min	precipitation_max	temperature_min	temperature_max	price	nutrients	precipitation	temperature
161	Ginkgo	ginkgo	biloba	ginkgoaceae			tree	30	null	food	emergent	placenta	null	null	-40	-7			NA	(-40)-(-7)
338	Honey Locust	gleditsia	triacanthos	fabaceae			tree	25	null	fodder; nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
15	Gliricidia	gliricidia	sepium	fabaceae			tree	11	50	fodder	medium	secondary	700	3500	-1	16			(700)-(3500)	(-1)-(16)
39	Soybean	glycine	max	fabaceae			herb	0.6	1	fodder; food	medium	placenta	500	4000	-12	4			(500)-(4000)	(-12)-(4)
362	Gmelina	gmelina	arborea	lamiaceae			bamboo	25	null	timber	emergent	placenta	750	4500	null	null	null		(750)-(4500)	NA
331	Sea Island Cotton	gossypium	barbadense	malvaceae			shrub	3	2	food; fiber	emergent	placenta	500	1500	-1	16	null		(500)-(1500)	(-1)-(16)
330	Cotton	gossypium	hirsutum	malvaceae			herb	2	1	food; fiber	emergent	placenta	450	1500	-29	4	null		(450)-(1500)	(-29)-(4)
241	African Rosewood	guibourtia	coleosperma	fabaceae			tree	20	null	food	emergent	placenta	null	null	-1	16	null		NA	(-1)-(16)
265	Sunflower	helianthus	annuus	asteraceae			herb	3	1	food	emergent	placenta	200	4000	-24	-2	null		(200)-(4000)	(-24)-(-2)
104	Rubber tree	hevea	brasiliensis	euphorbiaceae			tree	43	75		high	climax	1200	4000	4	16			(1200)-(4000)	(4)-(16)
74	Sea buckthorn	hippophae	rhamnoides	elaeagnaceae			shrub	6	40	food; nitrogen	emergent	placenta	350	800	-40	-12	null		(350)-(800)	(-40)-(-12)
20	Barley	hordeum	vulgare	poaceae			grass	1	1	food	emergent	placenta	320	470	-35	-7	null		(320)-(470)	(-35)-(-7)
307	Goldenseal	hydrastis	canadensis	ranunculaceae			herb	0.3	8	medicinal	emergent	placenta	null	null	-40	-12	null		NA	(-40)-(-12)
66	Dragon Fruit	hylocereus	undatus	cactaceae			cactus	4	25	food	emergent	placenta	500	1300	-1	16			(500)-(1300)	(-1)-(16)
294	Yaupon	ilex	vomitoria	aquifoliaceae			shrub	6	null	medicinal	emergent	placenta	null	null	-23	-1	null		NA	(-23)-(-1)
14	Ice Cream Bean	inga	edulis	fabaceae			tree	25											()-()	()-()
191	Jatropha (physic nut)	jatropha	curcas	euphorbiaceae			tree	6	40	food	medium	secondary	250	2000	-7	16	null		(250)-(2000)	(-7)-(16)
30	Black walnut	juglans	nigra	juglandaceae			tree	35	250	timber; food	emergent	placenta	640	1780	-34	-1	null		(640)-(1780)	(-34)-(-1)
29	Persian walnut	juglans	regia	juglandaceae			tree	30	250	timber; food	emergent	climax	320	1470	-17	-1	54		(320)-(1470)	(-17)-(-1)
70	Juniper	juniperus	communis	cupressaceae			shrub	8					500	1000	-30	4			(500)-(1000)	(-30)-(4)
369	Prickly Juniper	juniperus	oxycedrus	cupressaceae			tree	12	null	spice; medicinal	emergent	placenta	null	null	null	null	null		NA	NA
428	African Pencil Cedar	juniperus	procera	cupressaceae			tree	30	null		emergent	placenta	null	null	null	null	null		NA	NA
290	Rocky Mountain Juniper	juniperus	scopulorum	cupressaceae			tree	10	null	food	emergent	placenta	254	300	-40	-12	null		(254)-(300)	(-40)-(-12)
164	Benin mahogany	khaya	grandifoliola	meliaceae			tree	40	100	timber; shade	high	climax	1200	1800	-1	16			(1200)-(1800)	(-1)-(16)
389	Dry zone mahogany	khaya	senegalensis	meliaceae			tree	30	90	timber; food; oil	high	placenta	650	1500	-1	16	null		(650)-(1500)	(-1)-(16)
336	Golden Rain	laburnum	anagyroides	fabaceae			tree	7	null		emergent	placenta	null	null	null	null	null		NA	NA
207	Lettuce	lactuca	sativa	asteraceae			herb	0.3	1	food	emergent	placenta	null	null	null	null	null		NA	NA
146	European Larch	larix	decidua	pinaceae			tree	45	600	timber	emergent	climax	500	1500	-40	-17			(500)-(1500)	(-40)-(-17)
270	Siberian larch	larix	sibirica	pinaceae			tree	30	700	timber	emergent	placenta	143	820	-48	-32	null		(143)-(820)	(-48)-(-32)
127	Leucaena	leucaena	leucocephala	fabaceae			tree	10	35	biomass; fodder	medium	secondary	650	3000	-7	16			(650)-(3000)	(-7)-(16)
170	Flax / linseed	linum	usitatissimum	linaceae			herb	0.7	1	food; fiber	high	placenta	450	750	-34	-7			(450)-(750)	(-34)-(-7)
118	Lychee	litchi	chinensis	sapindaceae			bamboo	12	100		medium	secondary	700	2800	-1	16			(700)-(2800)	(-1)-(16)
24	Ryegrass	lolium	perenne	poaceae			grass	0.3	null	fodder	medium	placenta	200	2000	-29	16	null		(200)-(2000)	(-29)-(16)
2	Macadamia	macadamia	integrifolia	proteaceae	tropic	semiarid	tree	20	60	food	medium	secondary	700	3500	-7	16	null		(700)-(3500)	(-7)-(16)
381	Osage Orange	maclura	pomifera	moraceae			tree	15	130	fodder; oil	emergent	placenta	380	1000	-34	-1	1		(380)-(1000)	(-34)-(-1)
23	Apple	malus	domestica	rosaceae			tree	6	75	food	high	secondary	450	800	-40	-7	11	{\protein\:1,\fat\:0,\carb\:14}	(450)-(800)	(-40)-(-7)
332	Crab Apple	malus	sylvestris	rosaceae			tree	10	null	food	emergent	placenta	null	null	-35	-7	null		NA	(-35)-(-7)
12	Mango	mangifera	indica	anacardiaceae			tree	25	75	food	emergent	placenta	450	2500	-1	16			(450)-(2500)	(-1)-(16)
116	Cassava	manihot	esculenta	euphorbiaceae			shrub	3	3		emergent	secondary	500	2500	-7	16			(500)-(2500)	(-7)-(16)
433	Nile Tulip	markhamia	lutea	bignoniaceae			tree	12	null		emergent	placenta	null	null	null	null	null		NA	NA
93	Moon trefoil	medicago	arborea	fabaceae			herb	2	50	fodder; food; nitrogen	emergent	placenta	250	500	-18	4	null		(250)-(500)	(-18)-(4)
297	Alfalfa	medicago	sativa	fabaceae			herb	1	2	food; biomass; nitrogen	emergent	placenta	250	900	-34	-7	null		(250)-(900)	(-34)-(-7)
310	Persian Lilac	melia	azedarach	meliaceae			tree	45	120	timber; food; fodder; medicinal	emergent	placenta	600	1500	-18	10	null		(600)-(1500)	(-18)-(10)
423	Spearmint	mentha	spicata	lamiaceae			herb	null	null	spice	emergent	placenta	null	null	null	null	null		NA	NA
441	Pongame oiltree	millettia	pinnata	fabaceae			tree	20	null	oil	emergent	placenta	500	2500	-1	24	null		(500)-(2500)	(-1)-(24)
400	False Ashoka	monoon	longifolium	annonaceae			tree	null	null		emergent	placenta	null	null	null	null	null		NA	NA
140	Noni	morinda	citrifolia	rubiaceae			tree	6	25	food	medium	secondary	900	4000	-1	16			(900)-(4000)	(-1)-(16)
112	Moringa	moringa	oleifera	moringaceae			tree	9	20	fodder; food	high	secondary	500	2400	-1	16		{\protein\:8,\fat\:2,\carb\:9}	(500)-(2400)	(-1)-(16)
263	African Mulberry	morus	mesozygia	moraceae			tree	20	null		emergent	placenta	null	null	-1	16	null		NA	(-1)-(16)
80	Black mulberry	morus	nigra	moraceae			tree	12	35	fodder; food	emergent	secondary	500	2000	-29	-1	36		(500)-(2000)	(-29)-(-1)
1	Banana	musa	acuminata	musaceae	tropic	humid	giantherb	8	3	food	emergent	placenta	1200	2500	-1	16			(1200)-(2500)	(-1)-(16)
398	Plantain	musa	balbisiana	musaceae			giantherb	5	null	food	emergent	secondary	null	null	-1	16	null		NA	(-1)-(16)
188	Nutmeg	myristica	fragrans	myristicaceae			tree	20	80		high	climax	1200	4000	-1	16	null		(1200)-(4000)	(-1)-(16)
119	Rambutan	nephelium	lappaceum	sapindaceae			tree	18	90		medium	secondary	1400	4000	-1	16			(1400)-(4000)	(-1)-(16)
370	Christmas Tree	nuytsia	floribunda	loranthaceae			tree	10	null	gum	emergent	placenta	null	null	null	null	null		NA	NA
420	Basil	ocimum	basilicum	lamiaceae			herb	null	null	spice	emergent	placenta	null	null	null	null	null		NA	NA
264	Black Ironwood	olea	capensis	olaeceae			tree	10	2000	food	emergent	placenta	800	1500	-1	5	null		(800)-(1500)	(-1)-(5)
41	Olive	olea	europea	olaeceae			tree	10	500	food	medium	climax	400	1200	-7	4	null		(400)-(1200)	(-7)-(4)
435	Elgon teak	olea	welwitschii	oleaceae			tree	35	null	timber	emergent	placenta	null	null	null	null	null		NA	NA
62	Dillen prickly pear	opuntia	dillenii	cactaceae			cactus	1	null	fodder; food	medium	secondary	200	1000	-1	10			(200)-(1000)	(-1)-(10)
58	Prickly Pear	opuntia	ficus-indica	cactaceae			cactus	5	70	fodder; food; biomass	emergent	placenta	300	1200	-7	10	null		(300)-(1200)	(-7)-(10)
61	Velvet prickly pear	opuntia	tomentosa	cactaceae			cactus	4.5	null	fodder; food	emergent	secondary	300	900	-7	16			(300)-(900)	(-7)-(16)
374	Cul̩n	otholobium	glandulosum	fabaceae			tree	null	null		emergent	placenta	null	null	null	null	null		NA	NA
102	Karuka	pandanus	julianettii	pandanaceae			shrub	4	70		emergent	placenta	2500	4000	-1	16			(2500)-(4000)	(-1)-(16)
311	Angico	parapiptadenia	rigida	fabaceae			tree	null	null	nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
371	Cape Wattle	paraserianthes	lophantha	fabaceae			shrub	5	null	nitrogen	emergent	placenta	550	1150	-1	16	null		(550)-(1150)	(-1)-(16)
125	African Locust Bean	parkia	biglobosa	fabaceae			tree	15	250		medium	secondary	500	1400	-1	16			(500)-(1400)	(-1)-(16)
190	Parkinsonia	parkinsonia	aculeata	fabaceae			tree	10	140	food; biomass; fodder; nitrogen	medium	secondary	200	1000	-7	10	null		(200)-(1000)	(-7)-(10)
394	Dallisgrass	paspalum	dilatatum	poaceae			grass	null	5	fodder	low	placenta	null	null	null	null	null		NA	NA
111	Passion	passiflora	edulis	passifloraceae			vine	9	6		medium	secondary	900	2000	-7	10			(900)-(2000)	(-7)-(10)
244	Paulownia	paulownia	tomentosa	paulowniaceae			tree	15	70	timber	emergent	placenta	500	1500	-23	-4	null		(500)-(1500)	(-23)-(-4)
312	Copperpod	peltophorum	dubium	fabaceae			tree	null	null	nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
196	Millet (Pearl)	pennisetum	glaucum	poaceae			grass	3	1	food	emergent	placenta	null	null	null	null	null		NA	NA
141	Napier grass	pennisetum	purpureum	poaceae			grass	4	10	biomass; fodder	emergent	placenta	1000	4000	-12	10			(1000)-(4000)	(-12)-(10)
182	Pracaxi	pentaclethra	macroloba	fabaceae			tree	35	null	biomass; nitrogen	emergent	placenta	null	null	-1	16	null		NA	(-1)-(16)
11	Avocado	persea	americana	lauraceae			tree	15	100	food; shade	medium	secondary	800	2000	-7	16	null		(800)-(2000)	(-7)-(16)
300	Canary Reed Grass	phalaris	arundinacea	poaceae			grass	2	2	food; biomass; fodder; fiber	emergent	placenta	300	2600	-35	-1	null		(300)-(2600)	(-35)-(-1)
205	Bean	phaseolus	vulgaris	fabaceae			herb	2	1	food; nitrogen	emergent	placenta	null	null	-46	10	null		NA	(-46)-(10)
78	Canary Island Date Palm	phoenix	canariensis	arecaceae			palm	12					null	null	-12	10			NA	(-12)-(10)
230	Date palm	phoenix	dactylifera	arecaceae			palm	25	75	food; shade	emergent	placenta	100	400	-12	16	null		(100)-(400)	(-12)-(16)
430	Senegal date palm	phoenix	reclinata	arecaceae			palm	6	null		emergent	placenta	null	null	null	null	null		NA	NA
299	Common reed	phragmites	australis	poaceae			grass	null	null	fiber	emergent	placenta	null	null	null	null	null		NA	NA
137	Goldenberry	physalis	peruviana	solanaceae			herb	1.2	2	food; biomass	medium	placenta	700	4300	-9	16			(700)-(4300)	(-9)-(16)
154	Tomatillo	physalis	philadelphica	solanaceae			herb	0.6	1	food	medium	placenta	600	1100	-23	-1			(600)-(1100)	(-23)-(-1)
26	Norway spruce	picea	abies	pinaceae			tree	45	220	timber	emergent	placenta	450	1800	-46	-12	null		(450)-(1800)	(-46)-(-12)
282	Engelmann Spruce	picea	engelmannii	pinaceae			tree	null	null		emergent	placenta	null	null	-40	-34	null		NA	(-40)-(-34)
267	White Spruce	picea	glauca	pinaceae			tree	15	200	timber	emergent	placenta	250	600	-46	-18	null		(250)-(600)	(-46)-(-18)
348	Sitka Spruce	picea	sitchensis	pinaceae			tree	90	null	timber; food; medicinal	emergent	placenta	550	2000	-23	-12	null		(550)-(2000)	(-23)-(-12)
318	Knobcone Pine	pinus	attenuata	pinaceae			tree	22	70	timber	emergent	placenta	null	null	-18	-1	null		NA	(-18)-(-1)
54	Caribbean pine	pinus	caribbean	pinaceae			tree	35					1000	1800	-1	5			(1000)-(1800)	(-1)-(5)
316	Coulter Pine	pinus	coulteri	pinaceae			tree	18	100	timber; food	emergent	placenta	880	1524	-12	4	null		(880)-(1524)	(-12)-(4)
49	Lawson's pine	pinus	lawsonii	pinaceae			tree	30	300		emergent	climax	600	1500	-1	5			(600)-(1500)	(-1)-(5)
349	Black Pine	pinus	nigra	pinaceae			tree	null	null	timber	emergent	placenta	null	null	null	null	null		NA	NA
50	Oocarpa Pine	pinus	oocarpa	pinaceae			tree	20					600	2500	null	null			(600)-(2500)	NA
59	Mexican weeping pine	pinus	patula	pinaceae			tree	30					850	2000	null	null			(850)-(2000)	NA
60	Stone Pine	pinus	pinea	pinaceae			tree	10	130	food	emergent	placenta	400	900	-18	11	null		(400)-(900)	(-18)-(11)
52	Pringle's pine	pinus	pringlei	pinaceae			tree	25					null	null	-7	-1			NA	(-7)-(-1)
51	Smooth-bark Mexican pine	pinus	pseudostrobus	pinaceae			bamboo	30					800	2200	-7	-1			(800)-(2200)	(-7)-(-1)
317	Monterey pine	pinus	radiata	pinaceae			tree	50	70	timber	emergent	placenta	500	2000	-40	10	null		(500)-(2000)	(-40)-(10)
289	Red Pine	pinus	resinosa	pinaceae			bamboo	40	300	timber	emergent	placenta	510	1010	-51	-7	null		(510)-(1010)	(-51)-(-7)
287	Eastern White Pine	pinus	strobus	pinaceae			tree	40	200	timber	emergent	placenta	510	2030	-46	-12	null		(510)-(2030)	(-46)-(-12)
25	Scots pine	pinus	sylvestris	pinaceae			tree	30	null	timber	emergent	climax	200	1780	-40	-12			(200)-(1780)	(-40)-(-12)
393	Loblolly Pine	pinus	taeda	pinaceae			tree	40	70	timber	medium	secondary	null	null	-23	-1	null		NA	(-23)-(-1)
53	Aztec pine	pinus	teocote	pinaceae			tree	25					500	1000	-12	-7			(500)-(1000)	(-12)-(-7)
64	Black pepper	piper	nigrum	piperaceae			vine	6	12	food	emergent	placenta	2000	5500	-1	16			(2000)-(5500)	(-1)-(16)
253	Mastic tree	pistacia	lentiscus	anacardiaceae			shrub	5	null		emergent	placenta	null	null	-12	-1	null		NA	(-12)-(-1)
256	Turpentine tree	pistacia	terebinthus	anacardiaceae			tree	9	null		emergent	placenta	null	null	-12	10	null		NA	(-12)-(10)
40	Pistachio	pistacia	vera	anacardiaceae			tree	10	50	food	emergent	placenta	350	1200	-17	4			(350)-(1200)	(-17)-(4)
171	Ribwort plantain	plantago	lanceolata	plantaginaceae			herb	0.5	null	fodder	medium	placenta	null	null	-30	-1			NA	(-30)-(-1)
216	Jabuticaba	plinia	cauliflora	myrtaceae			tree	13	null	food	emergent	placenta	700	1700	-1	16	1		(700)-(1700)	(-1)-(16)
181	Kentucky bluegrass	poa	pratensis	poaceae			grass	0.8	null	fodder	emergent	placenta	null	null	null	null	null		NA	NA
429	Real yellowwood	podocarpus	latifolius	podocarpaceae			tree	35	null		emergent	placenta	null	null	null	null	null		NA	NA
303	Parasol Tree	polyscias	fulva	araliaceae			tree	25	null	medicinal	emergent	placenta	1200	2500	-1	16	null		(1200)-(2500)	(-1)-(16)
437	Mutati	polyscias	kikuyuensis	araliaceae			tree	null	null		emergent	placenta	null	null	null	null	null		NA	NA
17	Poplar (silver/white)	populus	alba	salicaceae			tree	25	80	biomass	emergent	climax	300	1000	-40	-1	null		(300)-(1000)	(-40)-(-1)
243	Desert Poplar	populus	euphratica	salicaceae			tree	15	null	biomass	emergent	placenta	null	null	null	null	null		NA	NA
81	Poplar (black)	populus	nigra	salicaceae			tree	30	200	biomass	emergent	climax	300	1000	-40	-1	null		(300)-(1000)	(-40)-(-1)
16	Aspen	populus	tremula	salicaceae			tree	40											()-()	()-()
227	Spekboom	portulacaria	afra	didiereaceae			shrub	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
122	Canistel	pouteria	campechiana	sapotaceae			tree	15	null		medium	secondary	900	1800	-1	16			(900)-(1800)	(-1)-(16)
242	Ghaf	prosopis	cineraria	fabaceae			tree	6	400	food; nitrogen	emergent	placenta	150	600	-1	16	null		(150)-(600)	(-1)-(16)
183	Smooth mesquite	prosopis	laevigata	fabaceae			tree	13	70	biomass; fodder; nitrogen	emergent	placenta	350	1200	-1	16	null		(350)-(1200)	(-1)-(16)
279	American Plum	prunus	americana	rosaceae			bamboo	6	null	food	emergent	placenta	560	635	-40	-7	null		(560)-(635)	(-40)-(-7)
174	Apricot	prunus	armeniaca	rosaceae			tree	9	null	food	medium	secondary	550	950	-29	-12	37		(550)-(950)	(-29)-(-12)
73	Sweet cherry	prunus	avium	rosaceae			tree	18	110	food	emergent	placenta	350	860	-40	-12	null		(350)-(860)	(-40)-(-12)
72	Cherry plum	prunus	cerasifera	rosaceae			tree	10					null	null	-30	-6			NA	(-30)-(-6)
387	Sour Cherry	prunus	cerasus	rosaceae			tree	6	null	food	emergent	placenta	520	800	-40	-12	null		(520)-(800)	(-40)-(-12)
90	European plum	prunus	domestica	rosaceae			tree	12					null	null	null	null			NA	NA
95	Almond	prunus	dulcis	rosaceae			tree	6	25	food	emergent	placenta	200	1470	-23	-1	null		(200)-(1470)	(-23)-(-1)
281	Canadian Plum	prunus	nigra	rosaceae			tree	9	40	food	emergent	placenta	null	null	-46	-7	null		NA	(-46)-(-7)
82	Peach	prunus	persica	rosaceae			tree	6	20	food	medium	secondary	550	1400	-29	-1	36		(550)-(1400)	(-29)-(-1)
273	Western Chokecherry	prunus	virginiana	rosaceae			shrub	4	null	food	emergent	placenta	null	null	null	null	null		NA	NA
31	Douglas fir	pseudotsuga	menziesii	pinaceae			tree	80	250		emergent	climax	580	3000	-34	-18			(580)-(3000)	(-34)-(-18)
329	Strawberry Guava	psidium	cattleyanum	myrtaceae			shrub	6	null	food	emergent	placenta	null	null	-7	16	null		NA	(-7)-(16)
121	Guava	psidium	guajava	myrtaceae			tree	10	40	food	medium	secondary	500	4000	-7	16	null		(500)-(4000)	(-7)-(16)
152	Lungwort	pulmonaria	officinalis	boraginaceae			herb	0.3	2		low	placenta	560	1500	-23	-1			(560)-(1500)	(-23)-(-1)
87	Pomegranate	punica	granatum	lythraceae			shrub	6	200	food	emergent	placenta	300	1000	-9	4			(300)-(1000)	(-9)-(4)
32	European pear	pyrus	communis	rosaceae			tree	13	60	food	high	secondary	400	800	-35	-1	null		(400)-(800)	(-35)-(-1)
220	White oak	quercus	alba	fagaceae			tree	20	400	timber; food	emergent	placenta	800	1200	-40	-2	null		(800)-(1200)	(-40)-(-2)
339	Turkey Oak	quercus	cerris	fagaceae			tree	35	120	timber; food	emergent	placenta	500	1000	-29	-1	null		(500)-(1000)	(-29)-(-1)
319	Blue Oak	quercus	douglasii	fagaceae			tree	12	250	food	emergent	placenta	510	1020	-12	10	null		(510)-(1020)	(-12)-(10)
340	Hungarian Oak	quercus	frainetto	fagaceae			tree	30	null	food	emergent	placenta	550	750	-29	-7	null		(550)-(750)	(-29)-(-7)
100	Holm oak	quercus	ilex	fagaceae			tree	25	350		high	climax	380	1000	-23	-1			(380)-(1000)	(-23)-(-1)
280	Bur Oak	quercus	macrocarpa	fagaceae			tree	15	300	timber; food	emergent	placenta	375	1270	-40	-7	null		(375)-(1270)	(-40)-(-7)
341	Downy Oak	quercus	pubescens	fagaceae			tree	null	null		emergent	placenta	600	1200	-35	-7	null		(600)-(1200)	(-35)-(-7)
71	Common oak	quercus	robur	fagaceae			tree	30					500	1700	-30	-7			(500)-(1700)	(-30)-(-7)
219	Red oak	quercus	rubra	fagaceae			tree	25	200	timber; food	emergent	placenta	700	2030	-40	-12	null		(700)-(2030)	(-40)-(-12)
218	Cork oak	quercus	suber	fagaceae			tree	20	null	timber	emergent	placenta	500	1400	-18	10	null		(500)-(1400)	(-18)-(10)
419	Radish	raphanus	raphanistrum	brassicaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
427	Quinine tree	rauvolfia	caffra	apocynaceae			tree	40	null		emergent	placenta	null	null	null	null	null		NA	NA
252	Retama	retama	sphaerocarpa	fabaceae			shrub	3	null	nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
361	Italian Buckthorn	rhamnus	alaternus	rhamnaceae			shrub	5	null		emergent	placenta	null	null	-23	-1	null		NA	(-23)-(-1)
232	Rhubarb	rheum	rhaponticum	polygonaceae			herb	1.2	null	food	emergent	placenta	null	null	-40	-12	null		NA	(-40)-(-12)
33	Blackcurrant	ribes	nigrum	grossulariaceae			shrub	1.5	15	food	emergent	placenta	350	1500	-34	-7	11		(350)-(1500)	(-34)-(-7)
34	Redcurrant	ribes	rubrum	grossulariaceae			shrub	1.5	15	food	emergent	placenta	350	1500	-34	-7	11		(350)-(1500)	(-34)-(-7)
9	Black locust	robinia	pseudoacacia	fabaceae			tree	25	75	fodder; timber	high	secondary	610	1910	-34	-1			(610)-(1910)	(-34)-(-1)
153	Rugosa rose	rosa	rugosa	rosaceae			shrub	2	15	food	medium	secondary	560	1500	-40	-1			(560)-(1500)	(-40)-(-1)
275	Woods' rose	rosa	woodsii	rosaceae			shrub	2	null	food	emergent	placenta	null	null	-35	-7	null		NA	(-35)-(-7)
251	Rosemary	rosmarinus	officinalis	lamiaceae			herb	1.5	10	spice; medicinal	emergent	placenta	450	1200	-24	10	null		(450)-(1200)	(-24)-(10)
352	Blackberry	rubus	fruticosus	rosaceae			shrub	3	null	food	emergent	placenta	null	null	-29	-1	null		NA	(-29)-(-1)
89	Raspberry	rubus	idaeus	rosaceae			shrub	2	20	food	emergent	placenta	null	null	-35	-7	null		NA	(-35)-(-7)
379	Sorrel	rumex	acetosa	polygonaceae			herb	0.6	null	food	emergent	placenta	null	null	null	null	null		NA	NA
35	Sugarcane	saccharum	officinarum	poaceae			grass	5	1	food	emergent	placenta	1200	4500	-12	16			(1200)-(4500)	(-12)-(16)
27	White willow	salix	alba	salicaceae			tree	25	60	biomass	high	secondary	500	2000	-40	-6	null		(500)-(2000)	(-40)-(-6)
284	Peachleaf Willow	salix	amygdaloides	salicaceae			tree	2	null	biomass	emergent	placenta	250	1225	-50	-12	null		(250)-(1225)	(-50)-(-12)
343	Goat Willow	salix	caprea	salicaceae			shrub	10	300	biomass; fodder	emergent	placenta	450	1800	-35	-1	null		(450)-(1800)	(-35)-(-1)
383	Basket Willow	salix	viminalis	salicaceae			tree	null	null	biomass; fodder	emergent	placenta	null	null	null	null	null		NA	NA
424	Chia	salvia	hispanica	lamiaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
248	Sage	salvia	officinalis	lamiaceae			herb	0.6	null	food	emergent	placenta	null	null	-29	4	null		NA	(-29)-(4)
278	Canada Elderberry	sambucus	canadensis	adoxaceae			shrub	4	50	food	emergent	placenta	null	null	-40	-2	null		NA	(-40)-(-2)
75	European elderberry	sambucus	nigra	adoxaceae			shrub	8	60	food	low	secondary	500	1500	-29	-12			(500)-(1500)	(-29)-(-12)
247	Cotton lavender	santolina	chamaecyparissus	asteraceae			herb	0.6	null		emergent	placenta	null	null	-24	-1	null		NA	(-24)-(-1)
250	Holy flax	santolina	rosmarinifolia	asteraceae			herb	0.5	null		emergent	placenta	null	null	-24	4	null		NA	(-24)-(4)
375	Hardee peppertree	schinus	polygama	anacardiaceae			shrub	4.5	null		emergent	placenta	null	null	null	null	null		NA	NA
392	Brazilian Peppertree	schinus	terebinthifolia	anacardiaceae			tree	10	null	food	medium	secondary	950	2200	-1	16	null		(950)-(2200)	(-1)-(16)
114	Mongongo	schinziophyton	rautanenii	euphorbiaceae			tree	12	75		medium	secondary	400	1000	-1	16			(400)-(1000)	(-1)-(16)
315	Brazilian Firetree	schizolobium	parahyba	fabaceae			tree	null	null	nitrogen	emergent	placenta	null	null	null	null	null		NA	NA
237	Marula	sclerocarya	birrea	anacardiaceae			tree	13	50	food	emergent	placenta	200	1600	-1	16	null		(200)-(1600)	(-1)-(16)
179	Rye	secale	cereale	poaceae			grass	1.8	1	food	emergent	placenta	250	1550	-40	-12	null		(250)-(1550)	(-40)-(-12)
159	Cutch Tree	senegalia	catechu	fabaceae			tree	15	null	food; fodder; nitrogen	high	secondary	500	200	-1	16			(500)-(200)	(-1)-(16)
126	Sesban	sesbania	sesban	fabaceae			shrub	5	10		emergent	secondary	350	2500	-1	16			(350)-(2500)	(-1)-(16)
274	Silver Buffaloberry	shepherdia	argentea	elaeagnaceae			shrub	4	40	food; nitrogen	emergent	placenta	330	584	-40	-1	null		(330)-(584)	(-40)-(-1)
384	Virginia Fanpetals	sida	hermaphrodita	malvaceae			herb	null	null	biomass; fodder; fiber	emergent	placenta	null	null	null	null	null		NA	NA
410	Bitter tomato - Ethiopian eggplant	solanum	aethiopicum	solanaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
178	Tamarillo	solanum	betaceum	solanaceae			shrub	5	11	food	medium	secondary	600	4000	-12	10	null		(600)-(4000)	(-12)-(10)
408	Tomato	solanum	lycopersicum	solanaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
409	Eggplant	solanum	melongena	solanaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
210	Potato	solanum	tuberosum	solanaceae			herb	0.5	null	food	emergent	placenta	400	850	-40	4	null		(400)-(850)	(-40)-(4)
376	Mayo	sophora	macrocarpa	fabaceae			shrub	3	null		emergent	placenta	null	null	null	null	null		NA	NA
350	Common Whitebeam	sorbus	aria	rosaceae			tree	12	null		emergent	placenta	null	null	-35	-7	null		NA	(-35)-(-7)
76	Rowan	sorbus	aucuparia	rosaceae			tree	15	150	food	emergent	placenta	450	1800	-40	-17	null		(450)-(1800)	(-40)-(-17)
296	Sorghum	sorghum	bicolor	poaceae			grass	5	1	food; biomass	emergent	placenta	200	4000	-7	16	null		(200)-(4000)	(-7)-(16)
211	Spinach	spinacia	oleracea	amaranthaceae			herb	null	null	food	emergent	placenta	null	null	null	null	null		NA	NA
326	Purple Mombin	spondias	purpurea	anacardiaceae			tree	9	55	food	emergent	placenta	600	1800	-1	16	null		(600)-(1800)	(-1)-(16)
301	Crosne (Chinese Artichoke)	stachys	affinis	lamiaceae			herb	1	null	food	emergent	placenta	null	null	-35	-7	null		NA	(-35)-(-7)
246	Esparto Grass	stipa	tenacissima	poaceae			grass	1	null	biomass	emergent	placenta	null	null	-18	4	null		NA	(-18)-(4)
165	Caribbean stylo	stylosanthes	hamata	fabaceae			herb	0.7	1	fodder; nitrogen	medium	placenta	null	null	-1	16			NA	(-1)-(16)
4	Honduran mahogany	swietenia	macrophylla	meliaceae	tropic	humid	tree	50	100	timber	emergent	climax	1000	4000	-1	16	null		(1000)-(4000)	(-1)-(16)
276	Western Snowberry	symphoricarpos	occidentalis	caprifoliaceae			shrub	2	null		emergent	placenta	null	null	-40	-12	null		NA	(-40)-(-12)
378	Comfrey	symphytum	officinale	boraginaceae			herb	0.8	null		emergent	placenta	null	null	null	null	null		NA	NA
272	Common Lilac	syringa	vulgaris	olaeceae			shrub	6	100		emergent	placenta	384	652	-40	-7	null		(384)-(652)	(-40)-(-7)
120	Jambolan	syzygium	cumini	myrtaceae			tree	30	100	food	high	climax	1000	6000	-12	16			(1000)-(6000)	(-12)-(16)
