ID	Name	Lateinischer.Name	Kategorie	Verwendung	Ökologie	Mykorrhiza	Bemerkung	Empfohlene.Sorte	Befruchtung.(bspw..mehrere.Sorten)	Pflanzabstand.und.Position.in.der.Hecke	Bemerkungen	Height	Width	Comments	Blütezeit	Erntezeit	Boden	soil.wetness_dry	soil.wetness_well-drained	soil.wetness_fresh	soil.wetness_moist	soil.wetness_wet	waterlogging	soil.structure_light	soil.structure_medium	soil.structure_heavy	soil.structure_compacted	soil.texture_sandy	soil.texture_loamy	soil.texture_clayey	soil.depth_deep	soil.depth_superficial	soil.richness_nutrient-poor	soil.richness_medium.nutrient.content	soil.richness_nutrient-rich	humus	stony	calcareous	soil.acidity_alkaline	soil.acidity_slightly.alkaline	soil.acidity_slightly.acidic	soil.acidity_acidic	pH	Standortanspruch	climate.change	orientation	orientation.when.young	cold.winter	spring.frost	waterlogging	drought	heavy.soil	hot.summer	shallow.soil
44	Sanddorn	Hippophae rhamnoides	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Insekten			Leikora (w), Dorana (w) und Pollmix (m) oder Sandora hipparth (selbstfruchtbare Sorte) Früchte ab 3./4. Jahr)	Zweihäusig Fremdbestäubung (6 weibliche auf 1 männliche)		Stickstoff bindend, Dorntragend. bildet Ausläufer, es gibt weibliche Sorten, die weniger Wurzelausläufer bilden (Leikora, Dorana)				(3)-(5)	(8)-(10)	Bevorzugt kargen, sandige-kiesige, kalkhaltige Böden. pH: 5.5 – 8.5											+					+				+	+					(5.5)–(8.5)	s		sunny								
45	Graunuss / Butternuss	Juglans cinerea	Nussbäume und -sträucher	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente							Gilt als Klimawandelgehölz. Wissen zu Standortanforderungen, Anbau etc. in der Schweiz noch ungenügend.  Windbestäubung. Hohe Standhaftigkeit selbst bei Starkwinden.  				(4)-(5)	(9)-NA																												Sehr robust. Erträgt Hitze wie auch Starkfröste				2	2				1	
46	Schwarznuss	Juglans nigra	Nussbäume und -sträucher	Holz / Möbel / Instrumente; Früchte / Konfiture / Konserve	Lebensraum Vögel; Lebensraum Kleinsäuger						Hohe Standhaftigkeit selbst bei Starkwinden.  Nuss ähnlich der Echten Walnuss, jedoch dunkler und voller ungesättigter Fettsäuren. Nüsse nur jung essen, mit zunehmender Lagerung bitter.  Jungbäume empfindlich auf Grasbewuchs auf Baumscheibe. 				(5)-(6)	(9)-(10)	Nährstoffreich, durchlässig, tiefgründig. Keine verdichteten und zu stark saure Böden.  pH: 5 - 7		+								-				+				+							-		Hohe bis sehr hohe Standortansprüche, sehr gut durchfeuchtete und sehr tiefgründige Standorte nötig, Auenwaldstandorte bevorzugt; anspruchsvoller als Echte Walnuss. S, Weinbauklima. Trockenheits- und hitzetolerant, gilt als potentielles Klimagehölz	yes						1		1	-1000
47	Echte Walnuss / Baumnuss	Juglans regia	Nussbäume und -sträucher	Holz / Möbel / Instrumente; Früchte / Konfiture / Konserve	Lebensraum Vögel; Lebensraum Kleinsäuger			 			Terminaltragende Sorten mit sehr starkem Wuchs, keine Empfehlung für silvoarable Systeme. Hier auf lateraltragende Sorten ausweichen. später Blattaustrieb. Jungbäume empfindlich auf starke Gräserkonkurrenz auf der Baumscheibe. Blätter Gerbstoffhaltig. Pflanzabstand: min. 12m. Windbestäubt. Hohe Standhaftigkeit selbst bei Starkwinden. 				(5)-NA	(9)-(10)	Bevorzugt frische, Nährstoffreiche, sandige Lehmböden, keine steinige und flachgründige Standorte. Staunässe und wechselfeuchte Böden ungeeignet. pH: 5.5-8			+	-		-					+	+			-			+		-							S. Wärmeliebend (innere Frostrisse bei starken Temperaturstürzen ausgangs Winters, Blüte empfindlich auf Spätfroste, daher lateraltragende Sorten für diese Lagen eher zu empfehlen). Lateraltragende Sorten kommen früher in den Ertrag und bleiben im Wuchs kleiner, jedoch mit höheren Erträgen. 		sunny		-100	-100					
48	Echte Walnuss / Baumnuss	Juglans regia	Vitiforst Umrandung	Früchte / Konfiture / Konserve; Biodiversität / Bodenschutz		AM, EM						(10)-(25)	(4)-(10)	Höhe, Breite	(5)-(6)	(9)-(10)	Nährstoffreich, feucht				+														+									Sonnig bis halbschattig 		sunny; semi-shaded								
49	Sibirische Honigbeere / Kamtschatka-Heckenkirsche	Lonicera caerulea var. kamtschatica	Wildobst-Kleinbäume und -sträucher	Holz / Möbel / Instrumente; Früchte / Konfiture / Konserve; Saft / Likör / öl				Mittlerweile viele Auslesen und Sorten vorhanden (siehe Pirc H.).z.B. Balalaika, Eisbär, Klinka	Zur besseren Befruchtung zwei unterschiedliche Sorten pflanzen	1-1.5 m	Blüht und fruchtet (Mai) sehr früh, widersteht Blütenfröste bis zu -8 °C 				(4)-NA	(5)-NA	Anspruchslos, leichte bis mittelschwere Böden, leicht sauer bis leicht alkalisch, nicht zu trocken	-						+	+															+	+			s, hs		sunny; semi-shaded								
50	Apfel	Malus domestica	Obstbäume veredelt						Teilweise diploide Sorten für triploide Sorten zur Fremdbefruchtung, notwendig		Geeignet für Agroforst mit Getreide, Körnerleguminosen, Hackfrüchte, Ölsaaten, Kunstwiese, Spezialkulturen und klassische Hochstamm-Feldobstgärten.				(4)-(5)	(8)-(10)	Tiefgründig, gut durchlüftet, keine Staunässe oder Verdichtung						-	+			-				+													S										
51	Wildapfel / Holzapfel	Malus sylvestris	Wildobst-Bäume	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente; Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Fledermaus						Geringhöhig asten, Risiko für Feuerbrand. Hartes Holz. Pflanzabstand: 10m.				(5)-NA	(9)-(10)	Tiefgründig, humoslehmig bis sandig, nicht stark lehmig. Frische Böden, keine Staunässe. pH: 5 - 8			+			-			-		+	+		+					+							(5)–(8)	S, hs. Kälte- und spätfrosttolerant		sunny; semi-shaded		1	1					
52	Wildapfel / Holzapfel	Malus sylvestris	Vitiforst Umrandung	Biodiversität / Bodenschutz; Früchte / Konfiture / Konserve	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger	AM	Roh für Menschen ungeniessbar					(4)-(8)	(3)-(4)	Höhe, Breite	(5)-NA	(9)-NA	Tiefgründig, frisch-feucht, nährstoffreich			+	+										+				+									Sonnig bis halbschattig 		sunny; semi-shaded								
53	Mispel	Mespilus germanica	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Biomasse / Energie	Lebensraum Insekten; Lebensraum Vögel			Maxilie, Apyrena, Bredase Reus, Delice de Vannes, Elba, Flandern Giant, Kurpfälzer, Large Dutch BI070, Metzer, Nottingham, Pomoravka, Royal, Westerveld	Selbstfruchtbar	4 m, W	Windgeschützte Lage. Nach Frosteinwirkung werden die Früchte weich und essreif. Risiko für Feuerbrand. Spärlich bedornt. 				(5)-(6)	(10)-(11)	Bevorzugt lockere, warme und eher trockene Böden, mittlerer Nährstoffgehalt. pH: 4.5-7.5	+						+										+									(4.5)-(7.5)	s, hs		sunny; semi-shaded								
54	Maulbeere	Morus alba; Morus nigra; morbus rubra	Biomassenutzung	Biodiversität / Bodenschutz; Biomasse / Energie			Futterbaulich sehr interessante Art, traditionell als Kopfbaum / -Hecke erzogen. Sehr gute Verdaulichkeit, ausgezeichnete Protein- und Energiegehalte. Auch rote und schwarze Maulbeere (Morus rubra, Morus nigra) möglich.					(5)-(15)		. Rascher Wuchs, starker Stockausschlag. Flach-mässig tiefes Wurzelsystem. Blattaustrieb mittelfrüh, Blätter meist gross, dichte, blattreiche Krone. Verträgt starken Rückschnitt	(5)-(6)		Mässig nährstoffreiche, durchlässige, eher kalkhaltige, mittel- bis tiefgründige Böden. Mässig trocken, keine Staunässe. pH: 5.5 - 8		+				-											+				+					(5.5)–(8)	Trockenheitsresistent, sehr wärmebedürftig, mässig frosttolerant. Rote Maulbeere weniger frostempfindlich				-100	1		1			
55	Maulbeere	Morus sp.; Morus alba; Morus nigra	Vitiforst in der Parzelle	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente; Biomasse / Energie		AM	Traditionelle Nutzung in der Seidenraupenproduktion (Blätter). Wertvolles Holz, für Tischler- und Drechslerarbeiten. Auch als Kopfbaum erziehbar. Morus alba ist starkwüchsig. Schwarzer Maulbeerbaum ist kleiner, knorriger. Pflanzabstand: 10m							10-15m hoch, rascher Wuchs, starker Stockausschlag, flach-mässig tiefes Wurzelsystem, Blattaustrieb mittelfrüh, Blätter meist gross, dichte, blattreiche Krone, verträgt starker rückschnitt	(4)-(5)	(8)-NA	Mässig nährstoffreiche, durchlässige, eher kalkhaltige, mittel- bis tiefgründige Böden. Mässig trocken, keine Staunässe. pH: 5.5 - 8		+				-											+				+					(5.5)–(8)	Trockenheitsresistent, sehr wärmebedürftig, mässig frosttolerant, rote Maulbeere weniger frostempfindlich				-100	1		1			
56	Maulbeere	Morus sp.; Morus alba; Morus nigra	Wildobst-Bäume	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente; Biomasse / Energie							Traditionelle Nutzung in der Seidenraupenproduktion (Blätter). Wertvolles Holz, für Tischler- und Drechslerarbeiten. Auch als Kopfbaum erziehbar. Schwarzer Maulbeerbaum ist kleiner, knorriger. Pflanzabstand: 10m				(5)-NA	(7)-(8)	Mässig nährstoffreiche, durchlässige, eher kalkhaltige, mittel- bis tiefgründige Böden. Mässig trocken, keine Staunässe. pH: 5.5 - 8		+				-											+				+					(5.5)–(8)	Trockenheitsresistent, sehr wärmebedürftig, mässig frosttolerant. Rote Maulbeere weniger frostempfindlich				-100	1		1			
57	Hopfenbuche	Ostrya carpinifolia	Stock-/Biomassehecke	Biomasse / Energie	Biodiversität / Bodenschutz		Hohes Stockausschlagvermögen. Wird als Laubfutter verwendet (Schafe) und zur Trüffelzucht							10  (– 15)  m hoch. Eher langsamwachsend. Guter Stockausschlag.	(4)-(5)		Bevorzugt mässig trocken, nährstoffreich, lehmig und kalkhaltig.	+											+						+			+						Potentielles Klimawandelgehölz. Benötigt milde Winter, warme Sommer. Wächst auch auf felsigen, trockenen Standorten.	yes			-100			1		1	
58	Hopfenbuche	Ostrya carpinifolia	Alley-Cropping	Biomasse / Energie; Biodiversität / Bodenschutz	Biodiversität / Bodenschutz		Hohes Stockausschlagvermögen. Holz hat hohen Abnutzungswiderstand. Wird als Laubfutter verwendet (Schafe) und zur Trüffelzucht							10  (– 15)  m hoch. Eher langsamwachsend. Stockausschlag.			Bevorzugt mässig trocken, nährstoffreich, lehmig und kalkhaltig. 	+											+						+			+						Potentielles Klimawandelgehölz. Benötigt milde Winter, warme Sommer. Wächst auch auf felsigen,  trockenen Standorten.	yes			-100			1		1	
59	Gewoehnliche Schwarzpappel	Populus nigra L. subsp. nigra	Stock-/Biomassehecke	Biomasse / Energie	Lebensraum Insekten		Sehr leichtes, weiches und Pilzanfälliges Holz.							Sehr rascher Wuchs. Breitkronig oder pyramidenförmig (P. nigra « italica »). 	(3)-(4)		Sehr feucht, auf Sand, Kies, Lehmboden.  Bevorzugt N-reiche Standorte. pH: 5.5 – 7.5				+	+						+							+		+						(5.5)–(7.5)	Licht- und wärmebedürftig, luftfeuchter Standort bevorzugt,		sunny		-100			-100			
60	Gewoehnliche Schwarzpappel	Populus nigra L. subsp. nigra	Biomassenutzung	Holz / Möbel / Instrumente; Biomasse / Energie	Lebensraum Insekten		Sehr leichtes, weiches und pilzanfälliges Holz.							Sehr rascher Wuchs. Breitkronig oder pyramidenförmig (P. nigra « italica »).	(3)-(4)		Sehr feucht, auf Sand, Kies, Lehmboden.  Bevorzugt N-reiche Standorte. pH: 5.5 – 7.5				+	+						+							+		+						(5.5)–(7.5)	Licht- und wärmebedürftig, luftfeuchter Standort bevorzugt		sunny		-100			-100			
61	Espe / Zitterpappel	Populus tremula	Alley-Cropping				Leicht abbaubares, bodenverbesserndes Laub							Flachwurzler			Frischer silikat- oder kalkhaltiger Boden.			+																		+						Weniger Wasserbedürftig als andere Pappelarten										
62	Aprikose	Prunus armeniaca	Obstbäume veredelt						Selbstbefruchtung, für wirtschaftliche Erträge aber Fremdbefruchtung nötig		Hitze- und Trockenheitsresistent				(2)-(4)	(6)-(8)	Sandig, trocken	+										+																S, hs										
63	Suesskirsche	Prunus avium	Obstbäume veredelt						Fremdbefruchtung, z.T. Selbstbefruchtung		Verträgt keinen Spätfrost, schwierig in Anbau mit einjährigen Ackerkulturen, da das Obst reift wenn die Kulturen im Wuchs sind, eher in silvopastoralen Systemen oder mit breiten Baumstreifen zur Erreichbarkeit.				(4)-(5)	(6)-(7)	Keine Staunässe, durchlässig, kalkhaltig, ausreichend feucht, nährstoffreich		+		+		-												+			+						S, hs										
64	Vogelkirsche	Prunus avium	Wildobst-Bäume	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente; Biomasse / Energie; Medizinalpflanze / Duftstoffe / Imkerei	Lebensraum Insekten; Lebensraum Vögel						Anfällig auf Pilzkrankheiten (insb. Schrotschuss). Holz mittelhart, gute mechanische Qualität, Wertholz. Alternative zu Esche. Pflanzabstand: 12m				(4)-(5)	(7)-NA	Tiefgründig, eher nährstoffreich, humoslehmig bis sandig. Kalktolerant. Nicht lehmigvernässt oder flachgründig. Frische Böden, keine Staunässe. pH: 4.5 – 7.5			+		-	-					+	+		+				+	+		+					(4.5)–(7.5)	Hs. Wenig kälte-, dafür spätfrosttolerant. Sonne kann W-exponierte Stämme schädigen. Potentielles Klimawandelgehölz, da sehr tolerant gegenüber Wärme und Trockenheit.	yes	semi-shaded		-100	1		2		2	
65	Kirschpflaume / Wildpflaume / Wilde Mirabelle	Prunus cerasifera	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente	Lebensraum Insekten; Lebensraum Vögel			Crimson Pointe mit Hollywood, Kok Sultan, Ceres	Teilweise selbstfruchtbar	3 m, W	Bevorzugt warme Standorte				(3)-(4)	(7)-(8)	Sowohl Lehmböden als auch durchlässige Standorte, mittlerer Nährstoffgehalt. Toleriert Trockenheit. pH: 4.5-7.5	+	+										+					+									(4.5)–(7.5)	s, hs		sunny; semi-shaded								
66	Sauerkirsche	Prunus cerasus	Obstbäume veredelt						Selbstbefruchtung, Ertrag lässt sich aber mit 2 Bäumen steigern		Ausgedehntes Wurzelwerk, Sauerkirsche trägt am einjährigen Holz. Schwierig in Anbau mit einjährigen Ackerkulturen, da das Obst reift wenn die Kulturen im Wuchs sind, eher in silvopastoralen Systemen oder mit breiten Baumstreifen zur Erreichbarkeit.				(4)-(5)	(6)-(7)	Humos, nährstoffreich, locker, lehmig, sandig							+				+	+						+	+								S										
67	Zwetschge / Pflaume	Prunus domestica	Obstbäume veredelt						Selbst- und Fremdbefruchtung je nach Sorte		Geeignet für Agroforst mit Getreide, Körnerleguminosen, Hackfrüchte, Ölsaaten, Kunstwiese, Spezialkulturen				(4)-(5)	(8)-(10)	Durchlässig, nährstoffreich, gleichmässig feucht, Sortenabhängig		+																+									S										
68	Mirabelle	Prunus domestica syriaca	Obstbäume veredelt						I.d.R. Selbstbefruchtend, gibt aber auf Fremdbefruchtende Sorten		Geeignet für Agroforst mit Getreide, Körnerleguminosen, Hackfrüchte, Ölsaaten, Kunstwiese, Spezialkulturen				(4)-(5)	(8)-(9)	Locker, durchlässig, nährstoffreich, leicht feucht, neutral bis leicht alkalisch		+	+	+			+											+					+				S, hs										
69	Mandelbaum	Prunus dulcis	Nussbäume und -sträucher	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente	Biodiversität / Bodenschutz			Ferrastar, Ferraduel; (wenig Erfahrung in der Schweiz)			Gilt als Klimawandelgehölz. Wissen zu Standortanforderungen, Anbau etc. in der Schweiz noch ungenügend. Erste Forschungen und Anbauversuche auf Betrieben. Nachweise auf frühere Mandelkultur in den südlichen Alpentäler (u.a. verwilderte Mandelbäume im VS Rhônetal). Als Alternative zu Kirschen, da nur wenig Anfällig auf Kirschessigfliege. Kultursorten meist dornenlos.				(3)-(4)	(7)-(10)	 Gut durchlässige sandige Lehmböden bevorzugt. pH: schwach sauer bis alkalisch						-					+	+										+	+	+			Erfordert hohe Temperaturen und sonnigen Standort. Sehr hohe Trockenheitstoleranz. Winterfrosthart von -16° bis -20° C.  Bedeutsame Schäden an Blütendurch Fröste bereits bei kurzfristigen Frösten (-1° C) während Blütezeit		sunny		2	-1000		2			
70	Felsenkirsche	Prunus mahaleb	Vitiforst in der Parzelle	Biodiversität / Bodenschutz; Biomasse / Energie	Biodiversität / Bodenschutz; Lebensraum Insekten	AM	Gemahlener Kern wird im westasiatischen Raum als Gewürz verwendet, hitzeverträglich, trockenresistent					(2)-(6)		Mehrstämmiger Grossstrauch, Höhe	(4)-(5)	(7)-(8)	Anspruchslos																											Sonnig		sunny								
71	Schwarzdorn / Gemeine Schlehe	Prunus spinosa	Wildobst-Kleinbäume und -sträucher	Früchte / Konfiture / Konserve; Saft / Likör / öl	Lebensraum Insekten				Einhäusig, Fremdbestäubung	2 – 3 m	Dornen. Weniger anfällig auf Feuerbrand als Weissdorn. Bildet Wurzelschösslinge				(4)-(5)	(10)-NA	Frischer Boden, mittlerer bis eher hoher Nährstoffgehalt. pH: 4.5 – 7.5			+														+	+								(4.5)–(7.5) 	s, hs		sunny; semi-shaded								
72	Birne	Pyrus communis	Obstbäume veredelt						Fremdbefruchtung		Geeignet für Agroforst mit Getreide, Körnerleguminosen, Hackfrüchte, Ölsaaten, Kunstwiese, Spezialkulturen				(4)-(5)	(9)-(11)	Tiefgründige, sandige Lehmböden mit ausreichend Humusanteil											+			+					+								S										
73	Wildbirne	Pyrus pyraster	Wildobst-Bäume	Früchte / Konfiture / Konserve; Holz / Möbel / Instrumente; Medizinalpflanze / Duftstoffe / Imkerei	Lebensraum Insekten; Lebensraum Vögel						Dornentragend. Risiko für Feuerbrand. Holz hart, sehr gesucht. Tiefwurzler. Pflanzabstand: 10m				(4)-(5)	(9)-(10)	Tiefgründig, humoslehmig bis sandig, nicht stark lehmig. Mässig feuchte bis sommertrockene Böden, keine Staunässe. pH: 5 – 7	+	+	+	+		-			-		+	+		+					+							(5)–(7)	S, hs. Trockenheitstolerant, kommt auf fast allen Standorten zurecht. Eher empfindlich gegenüber Kälte und Spätfrost.		sunny; semi-shaded		-100	-100		1			
74	Wildbirne	Pyrus pyraster	Vitiforst Umrandung	Holz / Möbel / Instrumente; Früchte / Konfiture / Konserve; Medizinalpflanze / Duftstoffe / Imkerei	Lebensraum Insekten; Lebensraum Vögel; Lebensraum Kleinsäuger	AM, EM	Tiefwurzler					(8)-(15)	(2)-(3)	Höhe, Breite	(4)-(5)	(8)-(9)	Frisch, basenreich			+																			+					Sonnig bis halbschattig		sunny; semi-shaded								
75	Mandelblaettriger Birnbaum	Pyrus spinosa	Vitiforst in der Parzelle	Früchte / Konfiture / Konserve; Biodiversität / Bodenschutz								(2)-(6)		Höhe	(4)-(5)																													Sonnig bis halbschattig		sunny; semi-shaded								
76	Traubeneiche	Quercus petraea	Alley-Cropping	Biomasse / Energie	Biodiversität / Bodenschutz; Lebensraum Kleinsäuger; Lebensraum Insekten		Innere Frostrisse bei starken Temperaturstürze ausgangs Winters. Holz mittelhart bis hart, gute mechanische Qualität, Brennholz. Holz hat gute Eigenschaften unter Wasser, daher Einsatz im Schiffs-, Brücken- und Whiskyfassbau. Gerbstoffe für Ledergerbung.							Mittlerer Wuchs. Astbildung-zur Stammbasis. Tiefwurzelnd (Pfahlwurzel). Blattaustrieb und -abwurf spät, Blätter mittelgross. Lichtdurchlässige-eher dichte Krone.			sandig bis stark lehmig, tiefgründig, mässig trocken. Mässiger bis mittlerer Nährstoffgehalt. Tolerant gegenüber zeitweiliger Staunässe. pH: 4.5 – 7.5	+					+					+	+		+			+									(4.5)–(7.5)	Verträgt Trockenheit. Hohe Spätfrostgefährdung (innere Frostrisse).					-1000		1			
77	Traubeneiche	Quercus petraea	Biomassenutzung	Holz / Möbel / Instrumente	Biodiversität / Bodenschutz; Lebensraum Kleinsäuger; Lebensraum Insekten		Innere Frostrisse bei starken Temperaturstürzen ausgangs Winters. Holz mittelhart bis hart, gute mechanische Qualität, Brennholz.							Mittlerer Wuchs. Astbildung-zur Stammbasis. Tiefwurzelnd (Pfahlwurzel). Blattaustrieb und -abwurf spät, Blätter mittelgross. Lichtdurchlässige-eher dichte Krone.	(4)-(5)		sandig bis stark lehmig, tiefgründig, mässig trocken. Mässiger bis mittlerer Nährstoffgehalt. Tolerant gegenüber zeitweiliger Staunässe. pH: 4.5 – 7.5	+					+					+	+		+			+									(4.5)–(7.5)	Hs. Verträgt Trockenheit. Hohe Spätfrostgefährdung (innere Frostrisse).		semi-shaded			-1000		1			
78	Traubeneiche	Quercus petraea	Vitiforst Umrandung	Biodiversität / Bodenschutz; Medizinalpflanze / Duftstoffe / Imkerei; Holz / Möbel / Instrumente		AM, EM	180 Schmetterlings- und über 500 Insektenarten, Zierfrüchte von Sept.-Okt.					(25)-(30)	(8)-(10)	Höhe, Breite	(4)-(5)		Kommt mit allem zurecht	+	+																									Sonnig bis halbschattig		sunny; semi-shaded								
79	Traubeneiche	Quercus petraea	Trüffelanbau		Biodiversität / Bodenschutz; Lebensraum Kleinsäuger; Lebensraum Insekten	EM (+AM)	Innere Frostrisse bei starken Temperaturstürze ausgangs Winters. Holz mittelhart bis hart, gute mechanische Qualität, Brennholz.							Mittlerer Wuchs. Astbildung-zur Stammbasis. Tiefwurzelnd (Pfahlwurzel). Blattaustrieb und -abwurf spät, Blätter mittelgross. Lichtdurchlässige-eher dichte Krone.			sandig bis stark lehmig, tiefgründig, mässig trocken. Mässiger bis mittlerer Nährstoffgehalt. Tolerant gegenüber zeitweiliger Staunässe. pH: 4.5 – 7.5	+					+					+	+		+			+									(4.5)–(7.5)	Hs. Verträgt Trockenheit. Hohe Spätfrostgefährdung (innere Frostrisse).		semi-shaded			-1000		1			
80	Flaumeiche	Quercus pubescens	Biomassenutzung	Holz / Möbel / Instrumente; Trüffel	Biodiversität / Bodenschutz; Lebensraum Kleinsäuger; Lebensraum Insekten		Für steile Hanglagen geeignet. Wichtige Baumart für Trüffelzucht. Hybridisiert sich leicht mit anderen Eichenarten (insb. Q. Petraea).Innere Frostrisse bei starken Temperaturstürzen ausgangs Winters. Holz mittelhart bis hart, verzieht sich gern, Hauptnutzung als Brennholz. Eicheln für Rinder und Pferde ungeniessbar / giftig.							Bis 25 m hoch. Langsamer Wuchs, konkurrenzschwach. Geringe Stockausschlagfähigkeit. Astbildung-zur Stammbasis. Tiefwurzelnd (Pfahlwurzel). Blattaustrieb und -abwurf spät, Blätter mittelgross, schnelle Zersetzung. Lichtdurchlässige-eher dichte Krone.  	(4)-(5)		Geringe Boden- und Nährstoffansprüche. Trockene bis frische, eher flachgründige, steinige Böden. Gute Kalktoleranz, geringe Ton- und Staunässetoleranz. pH: 4.5 – 8	+	+	+			-							-		+					+	+					(4.5)–(8)	Potentielles Klimawandelgehölz. Verträgt Trockenheit und heisse Extremlagen besser als die anderen genannten Eichenarten. Licht- und wärmeliebend. Hohe Spätfrostgefährdung (innere Frostrisse).	yes	sunny			-1000		2		2	
81	Flaumeiche	Quercus pubescens	Alley-Cropping	Biodiversität / Bodenschutz	Biodiversität / Bodenschutz; Lebensraum Kleinsäuger; Lebensraum Insekten		Für steilen Hanglagen geeignet. Wichtige Baumart für Trüffelzucht. Hybridisiert sich leicht mit anderen Eichenarten (insb. Q. Petraea) Innere Frostrisse bei starken Temperaturstürzen ausgangs Winters. Holz mittelhart bis hart, verzieht sich gern, Hauptnutzung als Brennholz							Bis 25 m hoch. Langsamer Wuchs, konkurrenzschwach. Geringe Stockausschlagfähigkeit. Astbildung-zur Stammbasis. Tiefwurzelnd (Pfahlwurzel). Blattaustrieb und -abwurf spät, Blätter mittelgross, schnelle Zersetzung. Lichtdurchlässige-eher dichte Krone.  			Geringe Boden- und Nährstoffansprüche. Trockene bis frische, eher flachgründige, steinige Böden. Gute Kalktoleranz, geringe Ton- und Staunässetoleranz. pH: 4.5 – 8	+	+	+			-							-		+					+	+					(4.5)–(8)	Verträgt Trockenheit und heisse Extremlagen besser als die anderen genannten Eichenarten. Licht- und wärmeliebend. Hohe Spätfrostgefährdung (innere Frostrisse)		sunny			-1000		1		2	
82	Flaumeiche	Quercus pubescens	Trüffelanbau		Biodiversität / Bodenschutz; Lebensraum Kleinsäuger; Lebensraum Insekten	EM (+AM)	Für steilen Hanglagen geeignet. Wichtige Baumart für Trüffelzucht. Hybridisiert sich leicht mit anderen Eichenarten (insb. Q. Petraea) Innere Frostrisse bei starken Temperaturstürze ausgangs Winters. Holz mittelhart bis hart, verzieht sich gern, Hauptnutzung als Brennholz							Bis 25 m hoch. Langsamer Wuchs, konkurrenzschwach. Geringe Stockausschlagfähigkeit. Astbildung-zur Stammbasis. Tiefwurzelnd (Pfahlwurzel). Blattaustrieb und -abwurf spät, Blätter mittelgross, schnelle Zersetzung. Lichtdurchlässige-eher dichte Krone.  			Geringe Boden- und Nährstoffansprüche. Trockene bis frische, eher flachgründige, steinige Böden. Gute Kalktoleranz, geringe Ton- und Staunässetoleranz. pH: 4.5 – 8	+	+	+			-							-		+					+	+					(4.5)–(8)	Potenzielles Klimawandelgehölz. Verträgt Trockenheit und heisse Extremlagen besser als die anderen genannten Eichenarten. Licht- und wärmeliebend. Hohe Spätfrostgefährdung (innere Frostrisse).	yes	sunny			-1000		2		2	
83	Stieleiche	Quercus robur	Biomassenutzung	Holz / Möbel / Instrumente	Biodiversität / Bodenschutz; Lebensraum Kleinsäuger; Lebensraum Insekten		Innere Frostrisse bei starken Temperaturstürzen ausgangs Winters. Holz mittelhart bis hart, gute mechanische Qualität, Brennholz, Herstellung von Weinfässern. Eicheln für Rinder und Pferde ungeniessbar / giftig. 							Mittlerer Wuchs. Astbildung-zur Stammbasis. Tiefwurzelnd (Pfahlwurzel). Blattaustrieb und -abwurf spät, Blätter mittelgross. Lichtdurchlässige-eher dichte Krone.	(4)-(5)		Toleriert stark lehmige, feuchte, zeitweilig staunasse Böden. Mittlerer Nährstoffgehalt.  pH: 4.5 – 7.5				+		+						+					+									(4.5)–(7.5)	Hs. Verträgt Trockenheit jedoch höherer Feuchtebedarf als Traubeneiche. Hohe Spätfrostgefährdung (innere Frostrisse).		semi-shaded			-1000		1			
84	Stieleiche	Quercus robur	Trüffelanbau		Biodiversität / Bodenschutz; Lebensraum Kleinsäuger; Lebensraum Insekten	EM (+AM)	Innere Frostrisse bei starken Temperaturstürzen ausgangs Winters. Holz mittelhart bis hart, gute mechanische Qualität, Brennholz, Herstellung von Weinfässern.							Mittlerer Wuchs. Astbildung-zur Stammbasis. Tiefwurzelnd (Pfahlwurzel). Blattaustrieb und -abwurf spät, Blätter mittelgross, lichtdurchlässige-eher dichte Krone.			Toleriert stark lehmige, feuchte, zeitweilig staunasse Böden.  Wächst auch auf vernässten, eher schweren Standorten. Mittlerer Nährstoffgehalt.  pH: 4.5 – 7.5				+	+	+			+			+					+									(4.5)–(7.5)	Hs. Verträgt Trockenheit, jedoch höherer Feuchtebedarf als Traubeneiche, hohe Spätfrostgefährdung (innere Frostrisse).		semi-shaded			-1000		1			
