Wissenschaftlicher.Artname	Deutscher.Artname	Gattung	X3	Familienzugehörigkeit	Giftigkeit	Herkunft	Frosthärte.x	Holzwert	Fruchtartkategorien..Apfelfrucht..Nussfrucht..Steinfrucht.und.Zapfen	Habitus	Höhe..m	Breite..m	X6	Wurzelsystem	Frosthärte.y	Lebensbereich.der.Gehölze	Zugehörigkeit.zu.Pflanzengesellschaften.und.Verbänden..Feldhecken.und.Feldgehölzen.	Zugehörigkeit.zu.Pflanzengesellschaften.und.Verbänden..Gehölze.an.Fließgewässer.und.in.Auen.	Bodenreaktion	Substrat	Bodenfeuchte	Besonnung	Fruchtbesatz..Monate	Fruchtschmuck	Fruchtfarbe.oder..Form	zur.Lärmminderung	zur.Staubminderung	zur.Pflanzung.von	Blütezeit..Monat	Blütefarbe	Herbstfärbung	Lichtzahl	Kontinentalitätszahl	Feuchtezahl	Reaktionszahl	Stickstoffzahl	Temperaturzahl
Sorbus aria	Echte Mehlbeere	Mehlbeeren (Sorbus)	Sorbus aria	rosengewächse (Rosaceae)	NA	einheimisch	-20	1	Apfelfrucht	aufrecht	(6)-(12)	(4)-(7)		Herzwurzler;Tiefwurzler	Frosthart	6	1;2;3;5;9;10;11;13;16;17;18;19;20	NA	alkalisch	leicht (sandig);schwer (tonig);durchlässig	feucht bis frisch;trocken	sonnig	9;10;11	1	orangerot	0	0		5;6	weiß	gelb	6	2	4	7	3	5
Sorbus aucuparia	Gewöhnliche Eberesche	Mehlbeeren (Sorbus)	Sorbus aucuparia	rosengewächse (Rosaceae)	leicht giftig	einheimisch	-36	NA	Apfelfrucht	lockerkronig;aufrecht	(6)-(12)	(4)-(6)		Flachwurzler;Herzwurzler	Frosthart	7	1;5;6;8;11;12;13;14;15;16;17;18;19;20	3;4	alkalisch	leicht (sandig);schwer (tonig);humos;durchlässig	feucht bis frisch;trocken	sonnig	8;9;10	1	rot	0	0		5;6	weiß	gelb;orange	6			4		
Sorbus intermedia	Schwedische Mehlbeere	Mehlbeeren (Sorbus)	Sorbus intermedia	rosengewächse (Rosaceae)	NA	Nordeuropa	-28	5	Apfelfrucht	aufrecht	(10)-(12)	(5)-(7)		Herzwurzler	Frosthart	3	NA	NA	alkalisch	leicht (sandig);schwer (tonig);durchlässig	feucht bis frisch	sonnig	9;10	1	orangerot	0	0		5;6	weiß	gelb;orange	6	2				5
Sorbus torminalis	Elsbeere	Mehlbeeren (Sorbus)	Sorbus torminalis	rosengewächse (Rosaceae)	NA	einheimisch	-20	1	Apfelfrucht	breitkronig	(10)-(20)	(7)-(12)		Herzwurzler;Tiefwurzler	Frosthart	6	9;10;11;12;13;15;17;19;20	NA	alkalisch	leicht (sandig);schwer (tonig);durchlässig	feucht bis frisch;trocken	sonnig;halbschattig	10;11	1	gelbbraun	0	0		5;6	weiß	gelb;rot;orange	4	4	4	7	4	7
Symphoricarpos albus	Gewöhnliche Schneebeere	Schneebeeren (Symphoricarpos)	Symphoricarpos albus var. laevigatus	geißblattgewächse (Caprifoliaceae)	giftig	Nordamerika		NA	Beerenfrüchte	breitbuschig;stark überhängend	()-(2)	(2)-()	s	Herzwurzler	Frosthart	3	NA	NA	alkalisch	leicht (sandig);schwer (tonig);humos;durchlässig	feucht bis frisch;trocken	sonnig;halbschattig	9;10;11;12	1	weiß	0	0		6;7;8;9	weißrosa	gelb						
Syringa vulgaris	Gewöhnlicher Flieder	Flieder (Syringa)	Syringa vulgaris	Ölbaumgewächse (Oleaceae)	NA	Südeuropa/Mittelmeer		NA	Kapselfrucht	straff aufrecht	(4)-(6)	()-(5)	s	Herzwurzler	Frosthart	6	NA	NA	alkalisch	leicht (sandig);schwer (tonig);durchlässig	feucht bis frisch;trocken	sonnig	NA	0	NA	0	0		5;6	violett	NA						
Tilia cordata	Winter-Linde	Linden (Tilia)	Tilia cordata	Malvengewächse (Malvaceae)	NA	einheimisch	-28	1;3;4;5	Nussfrucht	breitkronig;aufrecht	(18)-(25)	(10)-(12)		Herzwurzler	Frosthart	3	5;9;10;11;12;13;14;16;17	3;5	alkalisch	leicht (sandig);durchlässig	feucht bis frisch;trocken	sonnig;halbschattig	8;9	1	kugelig	1	0		7	weißgelb	gelb	5	4	5		5	5
Tilia platyphyllos	Sommer-Linde	Linden (Tilia)	Tilia platyphyllos	Malvengewächse (Malvaceae)	NA	einheimisch	-28	1;3;4;5	Nussfrucht	breitkronig	(30)-(35)	(18)-(25)		Herzwurzler	Frosthart	7	5;12;15;16;17	NA	alkalisch	schwer (tonig)	feucht bis frisch;trocken	sonnig;halbschattig	8;9	1	kugelig	2	2		6;7	gelb	gelb	4	2	6		7	6
Ulmus glabra	Berg-Ulme	Ulmen (Ulmus)	Ulmus glabra	Ulmengewächse (Ulmaceae)	NA	einheimisch	-24	1;2;3	Flügelnuß	breitkronig	(25)-(35)	()-(20)		Tiefwurzler	Frosthart	2	12;15;16;17;22	2;3;5	alkalisch	schwer (tonig);durchlässig	feucht bis frisch	sonnig;halbschattig	4;5;6	1	flügelartig	0	0		3;4	rotbraun	gelb	4	3	6	7	7	5
Ulmus laevis	Flatter-Ulme	Ulmen (Ulmus)	Ulmus laevis	ulmengewächse (Ulmaceae)	NA	einheimisch	-28	1;2	Flügelnuß	lockerkronig;breitkronig	(15)-(25)	(10)-(20)		Tiefwurzler	Frosthart	2	9;12	4;5	sauer	leicht (sandig);schwer (tonig);humos;durchlässig	feucht bis frisch	sonnig	4;5;6	1	flügelartig	0	0		3;4	rotbraun	gelb	4	5	8	7	7	6
Ulmus minor	Feld-Ulme	Ulmen (Ulmus)	Ulmus minor	ulmengewächse (Ulmaceae)	NA	einheimisch	-20	1;2	Flügelnuß	NA	()-(0)	()-(0)		NA	NA	-	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0		NA	NA	NA	5	5		8		7
Viburnum lantana	Wolliger Schneeball	Schneeball (Viburnum)	Viburnum lantana	moschuskrautgewächse (Adoxaceae)	giftig	einheimisch		NA	Steinfrucht	straff aufrecht		(1)-()	s	Flachwurzler	Frosthart	6;9	1;3;9;10;11;12;13;16;19;20	3;4;5	alkalisch	leicht (sandig);schwer (tonig);durchlässig	feucht bis frisch;trocken	sonnig	7;8;9;10	1	rotschwarz	2	0	Lärmschutzwellen	5	creme	gelb	7	2	4	8	4	5
Viburnum opulus	Gewöhnlicher Schneeball	Schneeball (Viburnum)	Viburnum opulus	moschuskrautgewächse (Adoxaceae)	giftig	einheimisch		NA	Steinfrucht	breitbuschig	()-(4)	(3)-(4)	s	Flachwurzler	Frosthart	2	1;3;5;8;11;12;15;16;17	1;2;3;4;5	alkalisch	leicht (sandig);schwer (tonig)	feucht bis frisch	sonnig;halbschattig	9;10;11;12	1	rot	0	0		5;6	creme	rot;orange	6	3		7	6	5
